column,missing_count,missing_percent
Waste Reduction Impact (%),1,0.24752475247524752
Carbon Footprint (kg CO2/unit),1,0.24752475247524752
CO2 Emission per kg (estimated),1,0.24752475247524752
End-of-Life Disposal (%),1,0.24752475247524752
Biodegradation Time (days),1,0.24752475247524752
Reusability (%),1,0.24752475247524752
Recycled Content (%),1,0.24752475247524752
Cost per Unit (USD),1,0.24752475247524752
Load Handling Score,1,0.24752475247524752
Moisture Resistance Score,1,0.24752475247524752
Thermal Resistance Score,1,0.24752475247524752
Total Material Weight (tons),1,0.24752475247524752
Annual Usage (units),1,0.24752475247524752
Supplier Sustainability Compliance (%),1,0.24752475247524752
Sustainability Target Progress (%),1,0.24752475247524752
Recyclability (%),0,0.0
Supplier Region,0,0.0
Recommended Packaging Use Cases,0,0.0
Suitable Product Categories,0,0.0
Material Type,0,0.0
Packaging Type,0,0.0
Material ID,0,0.0
Recyclability Category,0,0.0
