material_id,material_type,strength_mpa,weight_capacity,co2_emission_score,biodegradability_percent,recyclability_percent,cost_per_kg,indusrty_use_case
MAT_0001,Cardboard,6,5.25,0.54,1.941489362,98,0.287116962,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0002,Paper/Bio-Based,3,3,0.32,5.615384615,100,0.246989028,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0003,Steel,8,8.5,3.25,0.002025437,87,0.073553926,"Heavy Industrial Components, High-Security Goods"
MAT_0004,Paper/Bio-Based,1,1.75,0.31,5.615384615,100,0.277953476,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0005,Paper/Bio-Based,3,2.75,0.31,2.991803279,100,0.213047741,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0006,Plastic,8,7.5,1.41,0.006964718,85,0.579729869,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0007,Steel,8,8.5,3.01,0.002476944,91,0.119008262,"Heavy Industrial Components, High-Security Goods"
MAT_0008,Steel,8,8.75,3.2,0.002266152,96,0.111449195,"Heavy Industrial Components, High-Security Goods"
MAT_0009,Steel,8,8.5,3,0.0031711,94,0.112263689,"Heavy Industrial Components, High-Security Goods"
MAT_0010,Paper/Bio-Based,1,1.5,0.29,11.77419355,94,0.30050306,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0011,Cardboard,5,4.75,0.54,1.862244898,100,0.450618016,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0012,Steel,8,8.25,3.23,0.004821091,87,0.112847217,"Heavy Industrial Components, High-Security Goods"
MAT_0013,Plastic,7,7.25,1.59,0.005149476,76,0.177064024,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0014,Paper/Bio-Based,3,3.25,0.33,2.517241379,100,0.319286168,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0015,Plastic,8,7.75,1.58,0.004997057,87,0.566761353,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0016,Cardboard,5,4.5,0.49,1.028169014,93,0.345530133,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0017,Plastic,8,7.75,1.39,0.005044084,71,0.117070361,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0018,Plastic,7,7.75,1.46,0.009527539,62,0.153642351,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0019,Plastic,8,7.75,1.47,0.006271478,86,0.694951166,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0020,Cardboard,5,4.75,0.53,1.674311927,92,0.343534854,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0021,Paper/Bio-Based,3,2.75,0.33,5.887096774,100,0.189222429,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0022,Plastic,8,8,1.36,0.010022792,94,0.638078017,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0023,Cardboard,4,4,0.47,1.72985782,90,0.493890027,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0024,Plastic,8,7.5,1.35,0.023639896,88,0.762312765,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0025,Plastic,7,7.75,1.61,0.006838151,63,0.230020483,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0026,Paper/Bio-Based,3,2.75,0.3,4.50617284,100,0.345465647,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0027,Cardboard,6,4.75,0.49,3.802083333,100,0.429066648,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0028,Plastic,9,8,1.52,0.008488964,92,0.746388957,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0029,Plastic,8,7.5,1.55,0.010885125,91,0.768410428,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0030,Steel,9,9.25,2.71,0.005749752,100,0.126950618,"Heavy Industrial Components, High-Security Goods"
MAT_0031,Steel,8,8.5,2.98,0.002715471,98,0.10413054,"Heavy Industrial Components, High-Security Goods"
MAT_0032,Plastic,7,7.5,1.38,0.00904697,90,0.627562383,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0033,Cardboard,6,4.5,0.49,1.377358491,94,0.340394962,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0034,Cardboard,5,4.5,0.52,1.901041667,99,0.383919467,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0035,Plastic,8,8.25,1.37,0.007435626,70,0.169420268,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0036,Plastic,8,8,1.64,0.003909388,66,0.204447314,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0037,Plastic,9,8.5,1.45,0.004060564,55,0.235673203,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0038,Steel,9,9,2.92,0.005066559,97,0.11346132,"Heavy Industrial Components, High-Security Goods"
MAT_0039,Cardboard,4,4.5,0.55,1.42578125,100,0.354678433,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0040,Cardboard,4,4,0.49,1.036931818,100,0.297911229,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
