Material ID,Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%),Packaging Type_Bubble Wrap (Minimal Use),Packaging Type_Cardboard Boxes,Packaging Type_Foldable & Stackable Containers,Packaging Type_Plastic Totes & Pallets,Packaging Type_Protective Fillers (Paper/Biodegradable),Packaging Type_Steel Racks & Containers,Material Type_Cardboard,Material Type_Paper/Bio-Based,Material Type_Plastic,Material Type_Steel,Recyclability Category_High,Recyclability Category_Medium,Supplier Region_AMERICAS,Supplier Region_APAC,Supplier Region_EMEA,Supplier Region_EU,Supplier Region_LATAM,Supplier Region_ROW,"Suitable Product Categories_E-commerce, Food & Beverage, Consumer Goods, Apparel","Suitable Product Categories_Electronics, Medium-Value Goods, Retail Logistics","Suitable Product Categories_Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection","Suitable Product Categories_Heavy Industrial Components, High-Security Goods","Suitable Product Categories_Industrial Components, Heavy Machinery, Automotive Parts","Suitable Product Categories_Low-Value Goods, Secondary Protection for Non-Fragile Items",Recommended Packaging Use Cases_Closed-loop logistics and bulk material handling,Recommended Packaging Use Cases_Cross-docking and returnable packaging programs,Recommended Packaging Use Cases_Last-mile delivery and primary e-commerce packaging,"Recommended Packaging Use Cases_Secure, high-load international shipping and long-term storage",Recommended Packaging Use Cases_Surface protection during transit; minimal void-fill,Recommended Packaging Use Cases_Void-fill and cushioning for fragile products,cii,cei,mss
MAT_0001,0.9555555555555556,0.7945205479452053,0.4742268041237113,0.0008713653795989,0.1249999999999999,0.1398809523809523,0.0875420875420875,0.5692307692307692,0.7391304347826089,0.5555555555555556,0.4444444444444445,0.25,0.0788655788655788,0.963447056075286,0.1303820497271073,0.5945945945945945,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.1388422035952,84.20792380586195,44.48453608247422
MAT_0002,1.0,0.9863013698630136,0.2886597938144329,0.0001887033306137,0.0,0.0625,0.0134680134680134,0.676923076923077,0.956521739130435,0.2222222222222222,0.2222222222222222,0.125,0.0625485625485625,0.6597773006885658,0.080857085102082,0.6756756756756757,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.45561836136105,82.64576774886055,21.606529209621993
MAT_0003,0.711111111111111,0.780821917808219,1.0,1.0,0.25,1.0,1.0,0.9384615384615383,0.5434782608695652,0.7777777777777777,0.8888888888888888,0.875,0.9630924630924632,0.0,0.9771578734586618,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.33333333333333,43.17871017871017,87.5
MAT_0004,1.0,0.9315068493150684,0.2886597938144329,0.0001887033306137,0.0416666666666666,0.050595238095238,0.01010101010101,0.6923076923076923,0.7173913043478262,0.0,0.0,0.25,0.0862470862470862,0.6717354305482941,0.1032949262179098,0.4864864864864866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.5902984960412,81.46084156393434,10.773195876288659
MAT_0005,1.0,0.9726027397260272,0.2577319587628865,0.0005050589142898,0.0416666666666666,0.0297619047619047,0.01010101010101,0.5692307692307692,0.7608695652173914,0.2222222222222222,0.1111111111111111,0.125,0.0574980574980575,0.6069168047877015,0.0816656559531028,0.4864864864864866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.58080782853091,82.27973630035486,17.65463917525773
MAT_0006,0.6666666666666667,0.2328767123287671,0.865979381443299,0.290691930712577,0.4166666666666667,0.2083333333333333,0.3804713804713804,0.8307692307692309,0.5869565217391306,0.7777777777777777,0.7777777777777777,0.5,0.4755244755244756,0.4700156846168393,0.2177077016373559,0.9189189189189192,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.06038685976748,63.54336385264221,73.98625429553263
MAT_0007,0.7999999999999998,0.7397260273972601,0.9278350515463918,0.8176848321372873,0.25,0.9285714285714288,0.9191919191919192,0.9230769230769232,0.6304347826086958,0.7777777777777777,1.0,0.75,0.981740481740482,0.0976562065474932,0.9846371538306044,0.8378378378378379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.701778268204606,43.46967694390373,86.89003436426115
MAT_0008,0.911111111111111,0.7397260273972601,0.9587628865979382,0.893760024864439,0.2083333333333333,0.9910714285714284,0.9831649831649834,0.9230769230769232,0.3913043478260869,0.7777777777777777,1.0,0.875,0.9867909867909868,0.0757978575480828,0.9676571659591672,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.193933260800822,47.16904172574276,90.00859106529208
MAT_0009,0.8666666666666667,0.6164383561643836,0.9072164948453608,0.6386553222664381,0.25,0.9761904761904762,0.915824915824916,0.953846153846154,0.4782608695652175,0.7777777777777777,1.0,0.75,0.96969696969697,0.0827391347875902,0.9717000202142712,0.6486486486486485,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.207343699010224,45.659481412058724,86.47766323024054
MAT_0010,0.8666666666666667,0.9452054794520548,0.3195876288659793,0.0,0.0416666666666666,0.0327380952380952,0.0033670033670033,0.6000000000000001,0.8260869565217392,0.0,0.0,0.125,0.0808080808080808,0.6384306484087344,0.0816656559531028,0.4324324324324322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.86531986531988,78.35134853691554,8.891752577319586
