Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%)
98,79.0,49.0,188.0,5.0,0.54,61.0,88.0,6.0,5.0,4.0,2.24,101260.0,790.0,85.0
100,93.0,31.0,65.0,2.0,0.32,68.0,98.0,3.0,3.0,3.0,1.82,73961.0,545.0,88.0
87,78.0,100.0,180208.0,8.0,3.25,85.0,79.0,8.0,9.0,9.0,25.0,14649.0,4979.0,88.0
100,89.0,31.0,65.0,3.0,0.31,69.0,87.0,1.0,1.0,4.0,2.43,75036.0,656.0,81.0
100,92.0,28.0,122.0,3.0,0.31,61.0,89.0,3.0,2.0,3.0,1.69,69209.0,549.0,81.0
85,38.0,87.0,52407.0,12.0,1.41,78.0,81.0,8.0,8.0,6.0,12.45,56902.0,1222.0,97.0
91,75.0,93.0,147359.0,8.0,3.01,84.0,83.0,8.0,10.0,8.0,25.48,23428.0,5016.0,94.0
96,75.0,96.0,161066.0,7.0,3.2,84.0,72.0,8.0,10.0,9.0,25.61,21463.0,4932.0,88.0
94,66.0,91.0,115102.0,8.0,3.0,86.0,76.0,8.0,10.0,8.0,25.17,22087.0,4952.0,87.0
94,90.0,34.0,31.0,3.0,0.29,63.0,92.0,1.0,1.0,3.0,2.29,72042.0,549.0,79.0
100,83.0,50.0,196.0,6.0,0.54,65.0,92.0,5.0,5.0,4.0,3.48,96598.0,746.0,92.0
87,70.0,97.0,75709.0,7.0,3.23,85.0,76.0,8.0,9.0,8.0,24.43,23521.0,5092.0,88.0
76,30.0,7.0,70881.0,25.0,1.59,25.0,56.0,7.0,9.0,6.0,0.9,32265.0,164.0,68.0
100,85.0,33.0,145.0,3.0,0.33,70.0,93.0,3.0,3.0,4.0,2.34,74773.0,548.0,80.0
87,41.0,82.0,73043.0,13.0,1.58,77.0,81.0,8.0,9.0,6.0,12.56,57353.0,1271.0,91.0
93,84.0,47.0,355.0,5.0,0.49,61.0,90.0,5.0,5.0,3.0,3.05,102073.0,901.0,91.0
71,30.0,9.0,72362.0,25.0,1.39,28.0,58.0,8.0,7.0,8.0,1.07,30307.0,277.0,73.0
62,27.0,12.0,38310.0,26.0,1.46,32.0,66.0,7.0,9.0,8.0,1.49,27635.0,268.0,76.0
