material_type,moisture_resistance_score,thermal_resistance_score,Load Handling Score,CO2 Emission per kg (estimated),Biodegradation Time (days),Reusability (%),Recyclability Category,supplier_sustainability_compliance_pct,Waste Reduction Impact (%),Sustainability Target Progress (%),Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),CII,CEI,MSS
Cardboard,5.0,4.0,6.0,0.54,188.0,49.0,High,85.0,61.0,88.0,2.24,101260.0,790.0,47.147206808381995,8.6356351981352,43.24324324324325
Paper/Bio-Based,3.0,3.0,3.0,0.32,65.0,31.0,High,88.0,68.0,98.0,1.82,73961.0,545.0,86.19269649811591,10.816747355208895,33.933933933933936
Steel,9.0,9.0,8.0,3.25,180208.0,100.0,High,88.0,85.0,79.0,25.0,14649.0,4979.0,0.0,0.031002331002330963,96.3963963963964
Paper/Bio-Based,1.0,4.0,1.0,0.31,65.0,31.0,High,81.0,69.0,87.0,2.43,75036.0,656.0,89.26002466728255,7.896630118852341,33.63363363363364
Paper/Bio-Based,2.0,3.0,3.0,0.31,122.0,28.0,High,81.0,61.0,89.0,1.69,69209.0,549.0,89.04131217800466,11.711562599136565,27.02702702702703
Plastic,8.0,6.0,8.0,1.41,52407.0,87.0,Medium,97.0,78.0,81.0,12.45,56902.0,1222.0,12.218050079755727,0.8846575111635353,80.78078078078079
Steel,10.0,8.0,8.0,3.01,147359.0,93.0,High,94.0,84.0,83.0,25.48,23428.0,5016.0,0.746543635382416,0.015049053510591937,91.5915915915916
Steel,10.0,9.0,8.0,3.2,161066.0,96.0,High,88.0,84.0,72.0,25.61,21463.0,4932.0,0.14630802578340862,0.010831287676270063,94.2942942942943
Steel,10.0,8.0,8.0,3.0,115102.0,91.0,High,87.0,86.0,76.0,25.17,22087.0,4952.0,0.7802979543050839,0.02528262361397038,91.5915915915916
Paper/Bio-Based,1.0,3.0,1.0,0.29,31.0,34.0,High,79.0,63.0,92.0,2.29,72042.0,549.0,96.54272417267705,8.429270874685724,30.930930930930934
Cardboard,5.0,4.0,5.0,0.54,196.0,50.0,High,92.0,65.0,92.0,3.48,96598.0,746.0,47.140600665212624,5.267864319588458,46.24624624624625
Steel,9.0,8.0,8.0,3.23,75709.0,97.0,High,88.0,85.0,76.0,24.43,23521.0,5092.0,0.058204756030502125,0.05076108227970688,93.69369369369369
Plastic,9.0,6.0,7.0,1.59,70881.0,7.0,Medium,68.0,25.0,56.0,0.9,32265.0,164.0,9.774872223137088,22.707847707847712,1.8018018018018012
Paper/Bio-Based,3.0,4.0,3.0,0.33,145.0,33.0,High,80.0,70.0,93.0,2.34,74773.0,548.0,83.05299309233521,8.23172553941785,37.23723723723723
Plastic,9.0,6.0,8.0,1.58,73043.0,82.0,Medium,91.0,77.0,81.0,12.56,57353.0,1271.0,9.895980030481223,0.8697645242231229,78.07807807807811
Cardboard,5.0,3.0,5.0,0.49,355.0,47.0,High,91.0,61.0,90.0,3.05,102073.0,901.0,52.82085995929529,6.125568420650389,41.14114114114114
Plastic,7.0,8.0,8.0,1.39,72362.0,9.0,Medium,73.0,28.0,58.0,1.07,30307.0,277.0,12.528394538821768,18.97043766202645,4.804804804804803
Plastic,9.0,8.0,7.0,1.46,38310.0,12.0,Medium,76.0,32.0,66.0,1.49,27635.0,268.0,11.479220313009723,13.393094601148295,10.810810810810814
Plastic,9.0,6.0,8.0,1.47,58200.0,94.0,Medium,87.0,70.0,78.0,12.14,59878.0,1046.0,11.337173199113405,0.9280807056754337,81.08108108108107
Cardboard,4.0,5.0,5.0,0.53,218.0,53.0,High,83.0,56.0,88.0,3.44,98966.0,991.0,48.188102755856505,5.338605193256356,42.64264264264265
