material_id,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case,material_type_Cardboard,material_type_Paper/Bio-Based,material_type_Plastic,material_type_Steel,CII,CEI,MSS
MAT_0001,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1398809523809523,0.9555555555555556,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,91.12953514739229,62.23188405797101,32.030218933086644
MAT_0002,0.0,0.0,1.0,0.0625,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,96.875,70.0,30.0
MAT_0003,1.0,1.0,0.0,1.0,0.711111111111111,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,17.777777777777775,30.0,91.33333333333333
MAT_0004,0.0,0.0,1.0,0.050595238095238,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,97.47023809523809,70.0,30.0
MAT_0005,0.0,0.0,1.0,0.0297619047619047,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,98.51190476190477,70.0,30.0
MAT_0006,0.1304347826086956,0.0851063829787234,0.0,0.2083333333333333,0.6666666666666667,0.3333333333333333,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False,56.25,50.57971014492754,27.770582793709526
MAT_0007,1.0,1.0,0.0,0.9285714285714288,0.7999999999999998,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,23.571428571428555,30.0,94.0
MAT_0008,1.0,1.0,0.0,0.9910714285714284,0.911111111111111,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,23.224206349206355,30.0,97.33333333333331
MAT_0009,1.0,1.0,0.0,0.9761904761904762,0.8666666666666667,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,22.857142857142858,30.0,96.0
MAT_0010,0.0,0.0,1.0,0.0327380952380952,0.8666666666666667,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,95.0297619047619,70.0,26.0
MAT_0011,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1041666666666666,1.0,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,94.0263605442177,62.23188405797101,33.36355226641998
MAT_0012,1.0,1.0,0.0,0.9345238095238096,0.711111111111111,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,21.051587301587293,30.0,91.33333333333333
MAT_0013,0.1304347826086956,0.0851063829787234,0.0,0.5119047619047619,0.4666666666666665,0.3333333333333333,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False,36.07142857142857,50.57971014492754,21.77058279370952
MAT_0014,0.0,0.0,1.0,0.0446428571428571,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,97.76785714285714,70.0,30.0
MAT_0015,0.1304347826086956,0.0851063829787234,0.0,0.2142857142857143,0.711111111111111,0.3333333333333333,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False,57.06349206349206,50.57971014492754,29.103916127042854
MAT_0016,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1369047619047619,0.8444444444444446,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,88.50056689342404,62.23188405797101,28.696885599753312
MAT_0017,0.1304347826086956,0.0851063829787234,0.0,0.4970238095238095,0.3555555555555556,0.3333333333333333,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False,34.03769841269841,50.57971014492754,18.437249460376194
MAT_0018,0.1304347826086956,0.0851063829787234,0.0,0.4761904761904761,0.1555555555555554,0.3333333333333333,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False,30.079365079365083,50.57971014492754,12.437249460376187
MAT_0019,0.1304347826086956,0.0851063829787234,0.0,0.1904761904761904,0.6888888888888889,0.3333333333333333,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False,57.698412698412696,50.57971014492754,28.43724946037619
MAT_0020,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1428571428571428,0.8222222222222224,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,87.64739229024944,62.23188405797101,28.030218933086648
MAT_0021,0.0,0.0,1.0,0.0476190476190476,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,97.61904761904762,70.0,30.0
MAT_0022,0.1304347826086956,0.0851063829787234,0.0,0.2499999999999999,0.8666666666666667,0.3333333333333333,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False,59.16666666666668,50.57971014492754,33.77058279370952
MAT_0023,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1339285714285714,0.7777777777777777,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,86.98270975056688,62.23188405797101,26.696885599753305
MAT_0024,0.1304347826086956,0.0851063829787234,0.0,0.2261904761904762,0.7333333333333334,0.3333333333333333,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False,57.02380952380952,50.57971014492754,29.770582793709526
MAT_0025,0.1304347826086956,0.0851063829787234,0.0,0.4970238095238095,0.1777777777777778,0.3333333333333333,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False,29.59325396825397,50.57971014492754,13.103916127042858
MAT_0026,0.0,0.0,1.0,0.0773809523809523,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False,96.13095238095238,70.0,30.0
MAT_0027,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1458333333333333,1.0,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,91.94302721088435,62.23188405797101,33.36355226641998
MAT_0028,0.1304347826086956,0.0851063829787234,0.0,0.2708333333333333,0.8222222222222224,0.3333333333333333,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False,57.0138888888889,50.57971014492754,32.437249460376194
MAT_0029,0.1304347826086956,0.0851063829787234,0.0,0.2172619047619047,0.7999999999999998,0.3333333333333333,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False,59.13690476190476,50.57971014492754,31.77058279370952
MAT_0030,1.0,1.0,0.0,0.9464285714285716,1.0,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,27.67857142857142,30.0,100.0
MAT_0031,1.0,1.0,0.0,0.9285714285714288,0.9555555555555556,1.0,"Heavy Industrial Components, High-Security Goods",False,False,False,True,27.46031746031745,30.0,98.66666666666666
MAT_0032,0.1304347826086956,0.0851063829787234,0.0,0.1636904761904761,0.7777777777777777,0.3333333333333333,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False,61.25992063492064,50.57971014492754,31.10391612704285
MAT_0033,0.0521739130434782,0.0425531914893617,0.9693877551020408,0.1428571428571428,0.8666666666666667,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False,88.75850340136054,62.23188405797101,29.36355226641998
