recommended_material,cost_efficiency_category
Cardboard,High-cost
Paper/Bio-Based,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Steel,High-cost
Steel,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Steel,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Steel,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Cardboard,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Steel,High-cost
Plastic,Low-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Paper/Bio-Based,High-cost
Steel,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Steel,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Steel,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Steel,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Steel,High-cost
Cardboard,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Steel,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Plastic,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Steel,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Paper/Bio-Based,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Paper/Bio-Based,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Steel,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
Plastic,High-cost
Cardboard,High-cost
