Material ID,Material Type ,IndustryUseCase,Strength(MPa),Weight Capacity,Biodegradability %,CO2 Emission Score,Recyclability%,Cost/Kg,Upload_Timestamp
31,PLA-GF COMPOSITE,luxury;medical,38.6,,30.0,36.2,88.0,187.18,2025-12-04 01:22:53
66,Bamboo Fiber,"automotive,luxury",27.5,75.2,90.0,18.0,52.6,145.03,2025-12-04 02:00:45
65,HDPE Plastic,beverages,30.4,25.4,40.0,70.0,43.8,Rs 80,2025-12-04 02:39:53
54,Cellulose Film,pharma;toys,43.1,23.7,90.0,82.5,48.6,110.3,2025-12-04 02:16:35
46,Hemp Fiber Composite,food;fragile_goods,17.7,16.7,60.0,,78.9,179.97,2025-12-04 01:54:31
95,PLA Bioplastic,"automotive,food",5.5,,60.0,80.9,27.1,unknown,2025-12-04 01:46:26
26,RECYCLED GLASS,cosmetics,28.0,34.8,5.0,43.8,27.4,361.63,2025-12-04 01:39:47
48,3D-PRINTED PLA,agriculture;food,27.2,80.7,60.0,69.4,52.2,122.92,2025-12-04 01:51:11
11,Steel Can Sheet,household,16.8,51.4,90.0,42.2,,227.97,2025-12-04 00:34:34
1,RECYCLED PAPERBOARD,agriculture;toys,,32.5,80.0,40.0,70.7,65.58,2025-12-04 01:42:08
19,Coconut Coir Fiber,industrial,21.9,49.0,98.0,51.8,,Rs 85,2025-12-04 01:13:39
32,Recycled Paperboard,household,23.0,41.2,,,68.0,76.15 per kg,2025-12-04 01:59:42
90,Nanocellulose Board,automotive,44.7,,50.0,42.9,,95.86,2025-12-04 01:42:35
97,Bamboo Fiber,"fragile_goods,packaging",16.3,29.9,,16.4,69.2,Rs 74,2025-12-04 00:01:10
78,Biodegradable Foam,agriculture,37.8,28.3,5.0,63.7,43.3,unknown,2025-12-04 00:12:19
5,Glass Composite,household,,25.8,0.0,26.2,30.4,270.9,2025-12-04 00:23:51
81, Coconut Coir Fiber,toys,9.2,,70.0,17.3,52.4,64.25,2025-12-04 02:09:09
34,HDPE PLASTIC,toys,60.1,19.4,80.0,62.1,18.5,178.45,2025-12-04 00:35:59
13,Starch-Based Biopolymer,furniture,31.6,,60.0,45.4,87.2,162.68,2025-12-04 00:19:52
27,Aluminum Composite,food,38.4,65.7,10.0,33.9,29.7,162.52,2025-12-04 01:51:55
100,Corrugated Cardboard,furniture,44.9,5.0,70.0,56.1,45.7,137.27,2025-12-04 00:08:12
56,Bio-based Polyurethane,luxury;retail,38.3,33.2,,101.4,,145.72,2025-12-04 00:55:58
23,Cellulose Film,"household,luxury",27.7,45.6,98.0,51.2,58.7,135.4,2025-12-04 01:43:23
77,Hemp Fiber Composite,furniture;retail,55.5,59.9,70.0,36.7,51.9,105.85,2025-12-04 00:07:41
45,Sugarcane Bagasse,medical,39.5,75.9,,21.2,62.3,Rs 38,2025-12-04 01:12:45
73, Steel Can Sheet,industrial,11.2,76.0,90.0,,54.5,241.57,2025-12-04 01:13:53
16,Biodegradable Foam,"beverages,food",27.9,26.9,60.0,74.0,47.0,134.26,2025-12-04 01:46:53
43, PET Plastic,packaging,47.3,63.4,90.0,66.1,57.6,80.5,2025-12-04 02:07:46
41,LDPE Flexible Film,industrial,23.5,43.9,98.0,43.6,66.5,Rs 108,2025-12-04 00:28:55
10, LDPE Flexible Film,industrial,49.0,27.0,,58.5,80.8,Rs 142,2025-12-04 01:46:20
86,PLA-Coated Paper,packaging,17.8,38.6,0.0,78.9,68.6,68.98,2025-12-04 01:39:56
12, PET Plastic,"fragile_goods,toys",32.4,38.7,80.0,,53.7,79.1,2025-12-04 01:10:03
88,Recycled Glass,automotive,27.9,5.0,70.0,79.3,84.1,399.69,2025-12-04 02:10:35
79,3D-Printed PLA,household,30.6,37.2,30.0,51.0,58.8,183.64,2025-12-04 00:00:17
29,PLA-PHB Blend,furniture,,33.1,95.0,57.0,60.1,121.12,2025-12-04 01:43:20
80,Recycled PET,industrial,38.3,63.2,70.0,32.2,75.8,82.67,2025-12-04 00:28:25
6,Aluminum Foil,agriculture,,71.8,70.0,,63.2,85.26,2025-12-04 00:19:23
63,Recycled Paperboard,household;retail,53.7,25.6,40.0,54.6,50.5,39.88,2025-12-04 01:49:23
57,Recycled Glass,automotive;packaging,16.2,10.7,80.0,70.3,33.4,386.51,2025-12-04 02:00:43
40,Kraft Paper,beverages,27.1,,90.0,19.0,68.1,78.16,2025-12-04 01:56:42
36,Glass Composite,electronics;pharma,60.5,25.5,30.0,45.7,29.2,204.68,2025-12-04 00:04:32
17,3D-Printed PLA,agriculture,35.4,45.1,80.0,42.7,79.9,176.2,2025-12-04 01:11:06
67,Glass Composite,"fragile_goods,household",15.5,19.6,0.0,55.8,56.8,264.09,2025-12-04 01:26:51
35, Bamboo Fiber,beverages;furniture,7.2,56.7,40.0,,71.5,13.0,2025-12-04 00:55:49
8, Molded Pulp,"furniture,luxury",7.6,25.5,95.0,69.2,79.7,107.02,2025-12-04 01:19:59
44,Starch-Based Biopolymer,"food,toys",23.5,35.3,40.0,60.2,50.7,172.92,2025-12-04 00:57:45
69,Corrugated Cardboard,industrial,19.7,43.9,90.0,60.5,78.0,107.64,2025-12-04 00:39:39
70,Molded Pulp,beverages;luxury,30.7,13.7,90.0,52.8,45.0,119.67,2025-12-04 00:24:30
28,Nanocellulose Board,automotive;cosmetics,26.8,50.3,,73.8,70.1,unknown,2025-12-04 02:24:42
20,Paper Honeycomb Board,electronics;furniture,10.6,44.1,60.0,75.6,59.0,Rs 53,2025-12-04 01:50:13
85,CELLULOSE FILM,industrial,14.0,36.7,20.0,46.8,64.1,124.0,2025-12-04 01:06:57
26,RECYCLED GLASS,cosmetics,28.0,34.8,5.0,43.8,27.4,361.63,2025-12-04 01:43:43
74,PET Plastic,automotive;packaging,36.5,16.4,20.0,59.1,52.8,172.04,2025-12-04 00:32:24
50, Coconut Coir Fiber,toys,19.5,10.9,50.0,32.7,39.3,35.52,2025-12-04 00:17:36
14,SUGARCANE BAGASSE,luxury;pharma,27.5,48.9,90.0,52.8,69.8,97.94,2025-12-04 00:12:40
25,Bio-based Polyurethane,electronics;household,30.2,51.8,90.0,72.3,,112.97,2025-12-04 02:43:26
4, Bamboo Fiber,cosmetics;fragile_goods,35.6,5.0,95.0,11.2,38.7,147.55,2025-12-04 00:36:32
18,Recycled PET,automotive;beverages,30.9,36.2,60.0,52.6,43.4,84.03,2025-12-04 01:49:30
39,Molded Pulp,cosmetics,16.9,,70.0,87.4,64.7,58.51,2025-12-04 00:41:29
9, Kraft Paper,fragile_goods;luxury,,51.5,40.0,51.3,54.7,18.17,2025-12-04 00:53:38
82,Paper Honeycomb Board,toys,,,90.0,80.9,37.0,54.55,2025-12-04 00:23:13
7,Corrugated Cardboard,packaging,31.3,29.6,50.0,76.3,55.3,Rs 78,2025-12-04 01:13:54
68, Aluminum Foil,packaging,30.6,54.3,80.0,65.5,69.8,260.58,2025-12-04 00:44:03
37,Aluminum Foil,"pharma,toys",42.8,38.8,90.0,50.5,44.6,Rs 198,2025-12-04 01:04:00
92,PBS Biopolymer,fragile_goods,36.6,15.9,60.0,68.6,58.2,150.62,2025-12-04 01:28:54
84,Mycelium Composite,household;packaging,56.9,23.8,10.0,20.3,,Rs 64,2025-12-04 00:27:59
55,PLA-Coated Paper,packaging,32.6,31.7,98.0,36.8,66.8,27.41,2025-12-04 00:28:07
51, Paper Honeycomb Board,industrial;luxury,,5.0,,54.6,52.1,62.19,2025-12-04 00:37:19
71,Kraft Paper,agriculture;medical,,41.8,90.0,57.6,28.4,74.64,2025-12-04 01:54:01
47,Biodegradable Foam,cosmetics,43.0,18.1,70.0,81.7,67.1,74.81,2025-12-04 01:44:04
48,3D-PRINTED PLA,agriculture;food,27.2,80.7,60.0,69.4,52.2,122.92,2025-12-04 01:24:15
62,PLA-GF Composite,furniture;toys,32.0,39.6,0.0,59.6,47.1,92.55,2025-12-04 01:45:12
99,Aluminum Foil,furniture,23.4,71.0,90.0,64.8,60.8,166.55,2025-12-04 00:54:55
98, Glass Composite,agriculture;beverages,34.1,22.3,95.0,55.7,,260.64,2025-12-04 01:32:41
42,Steel Can Sheet,"household,toys",55.6,61.3,10.0,41.8,53.7,Rs 138,2025-12-04 01:23:08
59,Nanocellulose Board,"furniture,pharma",44.8,24.3,98.0,71.9,73.2,105.26,2025-12-04 01:02:47
49, Recycled PET,toys,33.3,,95.0,68.5,,80.78,2025-12-04 02:29:34
91,PLA-PHB Blend,cosmetics;industrial,15.5,44.9,70.0,49.2,60.8,76.28,2025-12-04 00:31:44
58,Aluminum Composite,food,25.4,56.7,,,32.2,113.67,2025-12-04 02:40:11
76,Sugarcane Bagasse,"agriculture,industrial",37.0,30.6,0.0,17.7,51.8,45.36,2025-12-04 02:02:10
33,PLA Bioplastic,food,3.0,30.2,90.0,76.9,44.8,156.55,2025-12-04 01:29:19
99,Aluminum Foil,furniture,23.4,71.0,90.0,64.8,60.8,166.55,2025-12-04 00:46:17
60,PLA-PHB BLEND,beverages;fragile_goods,30.7,49.7,0.0,62.4,35.5,182.13,2025-12-04 00:50:03
64,PLA Bioplastic,packaging,,32.0,90.0,45.1,54.1,166.99,2025-12-04 01:04:31
89,Aluminum Composite,medical,5.5,53.1,60.0,78.4,15.7,288.39,2025-12-04 00:36:11
38,Corrugated Cardboard,"luxury,medical",3.0,62.4,40.0,15.8,41.4,43.11,2025-12-04 00:19:57
30,PBS Biopolymer,automotive;retail,33.3,32.4,15.0,49.2,37.2,120.35,2025-12-04 02:35:33
94,Recycled Paperboard,retail,3.0,47.0,80.0,,31.4,20.52 per kg,2025-12-04 02:00:22
2,PLA BIOPLASTIC,agriculture;fragile_goods,45.2,5.0,0.0,70.9,,Rs 109,2025-12-04 02:45:08
53,Mycelium Composite,industrial;medical,4.6,18.8,10.0,54.5,68.9,113.21,2025-12-04 02:29:40
22,Mycelium Composite,industrial;toys,20.9,35.0,70.0,43.6,72.5,161.78,2025-12-04 01:22:25
3,HDPE Plastic,packaging,37.9,34.4,40.0,74.0,35.2,145.21,2025-12-04 01:38:27
