,0
Material ID,0
Packaging Type,0
Material Type,0
Suitable Product Categories,0
Recommended Packaging Use Cases,0
Supplier Region,0
Recyclability (%),0
Recyclability Category,0
Recycled Content (%),1
Reusability (%),1
Biodegradation Time (days),1
End-of-Life Disposal (%),1
Carbon Footprint (kg CO2/unit),1
CO2 Emission per kg (estimated),1
Waste Reduction Impact (%),1
Sustainability Target Progress (%),1
Load Handling Score,1
Moisture Resistance Score,1
Thermal Resistance Score,1
Cost per Unit (USD),1
Annual Usage (units),1
Total Material Weight (tons),1
Supplier Sustainability Compliance (%),1
