strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level,co2_emission_norm,biodegradability_norm,recyclability_category,recyclability_score,co2_impact_index,cost_norm,strength_norm,cost_efficiency_index
15.0,15.0,5.0,1.14,90.0,45.0,General Packaging,Literature,High,0.0577838205302515,0.05,A,1.0,69.18864717878994,0.0957446808510638,0.1237113402061855,51.39833296775609
15.0,15.0,5.0,0.82,95.0,40.0,General Packaging,Literature,High,0.036029911624745,0.05,A,1.0,70.0588035350102,0.0780141843971631,0.1237113402061855,52.28485779045112
5.0,5.0,5.0,0.91,85.0,35.0,Light Packaging,Literature,High,0.0421481985044187,0.05,B,0.75,62.314072059823246,0.0602836879432624,0.0206185567010309,48.01674343788843
5.0,5.0,5.0,0.62,90.0,30.0,Light Packaging,Literature,High,0.0224337185588035,0.05,A,1.0,70.60265125764786,0.0425531914893617,0.0206185567010309,48.90326826058347
50.0,10.0,80.0,0.5,70.0,120.0,Food/Cosmetic,Literature,High,0.0142760027192386,0.8,B,0.75,85.92895989123045,0.3617021276595745,0.4845360824742268,56.141697740732624
40.0,8.0,85.0,0.6,70.0,110.0,Food Packaging,Literature,High,0.0210740992522093,0.85,B,0.75,87.15703602991162,0.3262411347517731,0.3814432989690721,52.76010821086496
60.0,15.0,1.0,3.0,50.0,80.0,General Packaging,Literature,High,0.1842284160435078,0.01,C,0.5,47.93086335825969,0.2198581560283688,0.5876288659793815,68.38853549755063
65.0,18.0,1.0,3.1,55.0,85.0,Food/Cosmetics,Literature,High,0.1910265125764785,0.01,C,0.5,47.65893949694087,0.2375886524822695,0.6391752577319587,70.07933026248446
60.0,15.0,1.0,1.8,75.0,90.0,General Packaging,Literature,High,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.2553191489361702,0.5876288659793815,66.61548585216057
12.0,7.0,90.0,0.4,80.0,50.0,Food Packaging,Literature,High,0.0074779061862678,0.9,B,0.75,89.20088375254929,0.1134751773049645,0.0927835051546391,48.96541639248373
10.0,6.0,85.0,0.5,75.0,55.0,Electronics Packaging,Literature,High,0.0142760027192386,0.85,B,0.75,87.42895989123046,0.1312056737588652,0.0721649484536082,47.047963734737145
16.0,20.0,5.0,1.2,92.0,48.0,Electronics Packaging,Literature,High,0.0618626784500339,0.05,A,1.0,69.02549286199864,0.1063829787234042,0.134020618556701,51.381881991664834
20.0,8.0,90.0,0.6,70.0,100.0,Food/Cosmetics,Literature,Medium,0.0210740992522093,0.9,B,0.75,88.65703602991162,0.2907801418439716,0.1752577319587628,44.22387950573956
25.0,12.0,95.0,0.5,85.0,90.0,Food/Cosmetics,Literature,Medium,0.0142760027192386,0.95,B,0.75,90.42895989123043,0.2553191489361702,0.2268041237113402,48.5742487387585
50.0,12.0,80.0,0.55,70.0,125.0,Food Packaging,Literature,High,0.017675050985724,0.8,B,0.75,85.79299796057104,0.3794326241134751,0.4845360824742268,55.25517291803759
45.0,10.0,80.0,0.5,70.0,118.0,Food/Cosmetic,Literature,High,0.0142760027192386,0.8,B,0.75,85.92895989123045,0.3546099290780142,0.4329896907216495,53.91898808218176
