material_id,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case,material_type_Cardboard,material_type_Paper/Bio-Based,material_type_Plastic,material_type_Steel
MAT_0001,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.13988095238095238,0.9555555555555557,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0002,0.0,0.0,0.9999999999999999,0.0625,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0003,1.0,1.0,0.0,0.9999999999999999,0.711111111111111,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0004,0.0,0.0,0.9999999999999999,0.05059523809523808,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0005,0.0,0.0,0.9999999999999999,0.029761904761904753,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0006,0.13043478260869565,0.0851063829787234,0.0,0.20833333333333331,0.6666666666666667,0.33333333333333337,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False
MAT_0007,1.0,1.0,0.0,0.9285714285714287,0.7999999999999998,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0008,1.0,1.0,0.0,0.9910714285714285,0.911111111111111,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0009,1.0,1.0,0.0,0.9761904761904762,0.8666666666666667,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0010,0.0,0.0,0.9999999999999999,0.03273809523809523,0.8666666666666667,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0011,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.10416666666666666,1.0,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0012,1.0,1.0,0.0,0.9345238095238096,0.711111111111111,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0013,0.13043478260869565,0.0851063829787234,0.0,0.5119047619047619,0.46666666666666656,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0014,0.0,0.0,0.9999999999999999,0.04464285714285715,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0015,0.13043478260869565,0.0851063829787234,0.0,0.2142857142857143,0.711111111111111,0.33333333333333337,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False
MAT_0016,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.1369047619047619,0.8444444444444446,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0017,0.13043478260869565,0.0851063829787234,0.0,0.49702380952380953,0.3555555555555556,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0018,0.13043478260869565,0.0851063829787234,0.0,0.47619047619047616,0.15555555555555545,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0019,0.13043478260869565,0.0851063829787234,0.0,0.19047619047619047,0.6888888888888889,0.33333333333333337,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False
MAT_0020,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.14285714285714285,0.8222222222222224,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0021,0.0,0.0,0.9999999999999999,0.047619047619047616,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0022,0.13043478260869565,0.0851063829787234,0.0,0.24999999999999994,0.8666666666666667,0.33333333333333337,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False
MAT_0023,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.13392857142857142,0.7777777777777777,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0024,0.13043478260869565,0.0851063829787234,0.0,0.22619047619047622,0.7333333333333334,0.33333333333333337,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False
MAT_0025,0.13043478260869565,0.0851063829787234,0.0,0.49702380952380953,0.1777777777777778,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0026,0.0,0.0,0.9999999999999999,0.07738095238095236,1.0,0.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",False,True,False,False
MAT_0027,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.14583333333333334,1.0,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0028,0.13043478260869565,0.0851063829787234,0.0,0.2708333333333333,0.8222222222222224,0.33333333333333337,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False
MAT_0029,0.13043478260869565,0.0851063829787234,0.0,0.21726190476190477,0.7999999999999998,0.33333333333333337,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False
MAT_0030,1.0,1.0,0.0,0.9464285714285715,1.0,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0031,1.0,1.0,0.0,0.9285714285714287,0.9555555555555557,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0032,0.13043478260869565,0.0851063829787234,0.0,0.16369047619047616,0.7777777777777777,0.33333333333333337,"Electronics, Medium-Value Goods, Retail Logistics",False,False,True,False
MAT_0033,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.14285714285714285,0.8666666666666667,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0034,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.1369047619047619,0.9777777777777779,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0035,0.13043478260869565,0.0851063829787234,0.0,0.49702380952380953,0.33333333333333326,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0036,0.13043478260869565,0.0851063829787234,0.0,0.488095238095238,0.24444444444444446,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0037,0.13043478260869565,0.0851063829787234,0.0,0.47619047619047616,0.0,0.33333333333333337,"Low-Value Goods, Secondary Protection for Non-Fragile Items",False,False,True,False
MAT_0038,1.0,1.0,0.0,0.9523809523809522,0.9333333333333331,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
MAT_0039,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.18154761904761907,1.0,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0040,0.052173913043478265,0.04255319148936171,0.9693877551020408,0.1369047619047619,1.0,0.1333333333333333,"E-commerce, Food & Beverage, Consumer Goods, Apparel",True,False,False,False
MAT_0041,0.13043478260869565,0.0851063829787234,0.0,0.22619047619047622,0.6888888888888889,0.33333333333333337,"Industrial Components, Heavy Machinery, Automotive Parts",False,False,True,False
MAT_0042,1.0,1.0,0.0,0.943452380952381,0.8444444444444446,0.9999999999999999,"Heavy Industrial Components, High-Security Goods",False,False,False,True
