material_id,packaging_type,material_type,suitable_product_categories,recommended_packaging_use_cases,supplier_region,recyclability_percent,recyclability_category,recycled_content_percent,reusability_percent,biodegradation_time_days,end_of_life_disposal_percent,carbon_footprint_kg_co2_unit,co2_emission_per_kg_estimated,waste_reduction_impact_percent,sustainability_target_progress_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,cost_per_unit_usd,annual_usage_units,total_material_weight_tons,supplier_sustainability_compliance_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,overall_sustainability_score
MAT_0001,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,98,High,79.0,49.0,188.0,5.0,0.78,0.54,61.0,88.0,6.0,5.0,4.0,2.24,101260.0,790.0,85.0,81.65457949908385,85.25672105672105,44.44444444444444,81.17910282467935
MAT_0002,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,100,High,93.0,31.0,65.0,2.0,0.52,0.32,68.0,98.0,3.0,3.0,3.0,1.82,73961.0,545.0,88.0,92.19744451456553,83.07257187257187,22.22222222222222,87.66910558009793
MAT_0003,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,87,High,78.0,100.0,180208.0,8.0,3.67,3.25,85.0,79.0,8.0,9.0,9.0,25.0,14649.0,4979.0,88.0,26.1,47.94537684537685,85.18518518518518,65.085
MAT_0004,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,ROW,100,High,89.0,31.0,65.0,3.0,0.48,0.31,69.0,87.0,1.0,1.0,4.0,2.43,75036.0,656.0,81.0,92.33212464924566,81.88764568764569,11.11111111111111,88.01624362723598
MAT_0005,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,100,High,92.0,28.0,122.0,3.0,0.41,0.31,61.0,89.0,3.0,2.0,3.0,1.69,69209.0,549.0,81.0,87.83340103577153,82.72509712509712,18.51851851851852,84.04169036252003
MAT_0006,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,85,Medium,38.0,87.0,52407.0,12.0,1.01,1.41,78.0,81.0,8.0,8.0,6.0,12.45,56902.0,1222.0,97.0,51.64944792603443,69.12377622377623,70.37037037037037,71.22730677411204
MAT_0007,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",ROW,91,High,75.0,93.0,147359.0,8.0,3.43,3.01,84.0,83.0,8.0,10.0,8.0,25.48,23428.0,5016.0,94.0,30.73590489542338,46.812975912975915,85.18518518518518,67.80756671339819
MAT_0008,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,96,High,75.0,96.0,161066.0,7.0,3.64,3.2,84.0,72.0,8.0,10.0,9.0,25.61,21463.0,4932.0,88.0,29.58616221795073,48.660450660450664,88.88888888888889,69.15515677628275
MAT_0009,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EMEA,94,High,66.0,91.0,115102.0,8.0,3.59,3.0,86.0,76.0,8.0,10.0,8.0,25.17,22087.0,4952.0,87.0,32.03012675706286,47.91515151515151,85.18518518518518,69.910544364972
MAT_0010,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,94,High,90.0,34.0,31.0,3.0,0.42,0.29,63.0,92.0,1.0,1.0,3.0,2.29,72042.0,549.0,79.0,98.06531986531988,80.95959595959596,7.4074074074074066,86.12286195286197
