material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level,co2_emission_norm,biodegradability_norm,recyclability_category,recyclability_score,co2_impact_index,cost_norm,strength_norm,cost_efficiency_index,material_suitability_score
1.0,Virgin Cardboard,15.0,15.0,5.0,1.14,90.0,45.0,General Packaging,Literature,High,0.057783820530251516,0.05,A,1.0,69.18864717878994,0.09574468085106383,0.12371134020618557,51.39833296775609,60.29349007327301
2.0,Recycled Cardboard,15.0,15.0,5.0,0.82,95.0,40.0,General Packaging,Literature,High,0.03602991162474507,0.05,A,1.0,70.0588035350102,0.07801418439716312,0.12371134020618557,52.28485779045112,61.171830662730656
3.0,Virgin Paper,5.0,5.0,5.0,0.91,85.0,35.0,Light Packaging,Literature,High,0.04214819850441877,0.05,B,0.75,62.314072059823246,0.06028368794326241,0.020618556701030927,48.01674343788843,55.16540774885584
4.0,Recycled Paper,5.0,5.0,5.0,0.62,90.0,30.0,Light Packaging,Literature,High,0.022433718558803536,0.05,A,1.0,70.60265125764786,0.0425531914893617,0.020618556701030927,48.90326826058347,59.75295975911567
5.0,PLA Bioplastic,50.0,10.0,80.0,0.5,70.0,120.0,Food/Cosmetic,Literature,High,0.014276002719238614,0.8,B,0.75,85.92895989123045,0.3617021276595745,0.4845360824742268,56.141697740732624,71.03532881598153
6.0,Compostable Plastic,40.0,8.0,85.0,0.6,70.0,110.0,Food Packaging,Literature,High,0.02107409925220938,0.85,B,0.75,87.15703602991162,0.3262411347517731,0.38144329896907214,52.760108210864956,69.95857212038828
7.0,Conventional Plastic (PET),60.0,15.0,1.0,3.0,50.0,80.0,General Packaging,Literature,High,0.18422841604350781,0.01,C,0.5,47.93086335825969,0.2198581560283688,0.5876288659793815,68.38853549755063,58.15969942790517
8.0,Conventional Plastic (HDPE),65.0,18.0,1.0,3.1,55.0,85.0,Food/Cosmetics,Literature,High,0.19102651257647857,0.01,C,0.5,47.65893949694087,0.2375886524822695,0.6391752577319587,70.07933026248446,58.86913487971266
9.0,Recycled PET,60.0,15.0,1.0,1.8,75.0,90.0,General Packaging,Literature,High,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.2553191489361702,0.5876288659793815,66.61548585216057,62.65471777312312
10.0,Sugarcane Bagasse,12.0,7.0,90.0,0.4,80.0,50.0,Food Packaging,Literature,High,0.007477906186267848,0.9,B,0.75,89.20088375254929,0.11347517730496454,0.09278350515463918,48.96541639248373,69.0831500725165
11.0,Wood Pulp Molded Fiber,10.0,6.0,85.0,0.5,75.0,55.0,Electronics Packaging,Literature,High,0.014276002719238614,0.85,B,0.75,87.42895989123046,0.13120567375886524,0.07216494845360824,47.047963734737145,67.2384618129838
12.0,Corrugated Paperboard,16.0,20.0,5.0,1.2,92.0,48.0,Electronics Packaging,Literature,High,0.06186267845003398,0.05,A,1.0,69.02549286199864,0.10638297872340426,0.13402061855670103,51.381881991664834,60.203687426831735
13.0,Cotton Fabric Wrap,20.0,8.0,90.0,0.6,70.0,100.0,Food/Cosmetics,Literature,Medium,0.02107409925220938,0.9,B,0.75,88.65703602991162,0.2907801418439716,0.17525773195876287,44.22387950573956,66.44045776782559
14.0,Jute Bag,25.0,12.0,95.0,0.5,85.0,90.0,Food/Cosmetics,Literature,Medium,0.014276002719238614,0.95,B,0.75,90.42895989123045,0.2553191489361702,0.2268041237113402,48.5742487387585,69.50160431499447
15.0,PLA Sheet,50.0,12.0,80.0,0.55,70.0,125.0,Food Packaging,Literature,High,0.017675050985724,0.8,B,0.75,85.79299796057104,0.37943262411347517,0.4845360824742268,55.25517291803759,70.52408543930432
16.0,Polylactic Acid Blend,45.0,10.0,80.0,0.5,70.0,118.0,Food/Cosmetic,Literature,High,0.014276002719238614,0.8,B,0.75,85.92895989123045,0.3546099290780142,0.4329896907216495,53.91898808218176,69.9239739867061
