material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level,co2_emission_norm,biodegradability_norm,recyclability_category,recyclability_score,co2_impact_index,strength_norm,capacity_norm,cost_norm,inv_cost_norm,cost_efficiency_index
1.0,Virgin Cardboard,15.0,15.0,5.0,1.14,90.0,45.0,General Packaging,Literature,High,0.057783820530251516,0.05,A,1.0,69.18864717878994,0.12371134020618557,0.008678237650200267,0.09574468085106383,0.9042553191489362,32.33646031222152
2.0,Recycled Cardboard,15.0,15.0,5.0,0.82,95.0,40.0,General Packaging,Literature,High,0.03602991162474507,0.05,A,1.0,70.0588035350102,0.12371134020618557,0.008678237650200267,0.07801418439716312,0.9219858156028369,32.86837520583854
3.0,Virgin Paper,5.0,5.0,5.0,0.91,85.0,35.0,Light Packaging,Literature,High,0.04214819850441877,0.05,B,0.75,62.314072059823246,0.020618556701030927,0.0020026702269692926,0.06028368794326241,0.9397163120567376,29.07631173655244
4.0,Recycled Paper,5.0,5.0,5.0,0.62,90.0,30.0,Light Packaging,Literature,High,0.022433718558803536,0.05,A,1.0,70.60265125764786,0.020618556701030927,0.0020026702269692926,0.0425531914893617,0.9574468085106383,29.608226630169465
5.0,PLA Bioplastic,50.0,10.0,80.0,0.5,70.0,120.0,Food/Cosmetic,Literature,High,0.014276002719238614,0.8,B,0.75,85.92895989123045,0.4845360824742268,0.0053404539385847796,0.3617021276595745,0.6382978723404256,38.69059308733938
6.0,Compostable Plastic,40.0,8.0,85.0,0.6,70.0,110.0,Food Packaging,Literature,High,0.02107409925220938,0.85,B,0.75,87.15703602991162,0.38144329896907214,0.004005340453938585,0.3262411347517731,0.6737588652482269,35.59065812982785
7.0,Conventional Plastic (PET),60.0,15.0,1.0,3.0,50.0,80.0,General Packaging,Literature,High,0.18422841604350781,0.01,C,0.5,47.93086335825969,0.5876288659793815,0.008678237650200267,0.2198581560283688,0.7801418439716312,47.169757087830206
8.0,Conventional Plastic (HDPE),65.0,18.0,1.0,3.1,55.0,85.0,Food/Cosmetics,Literature,High,0.19102651257647857,0.01,C,0.5,47.65893949694087,0.6391752577319587,0.010680907877169559,0.2375886524822695,0.7624113475177305,48.75977797112535
9.0,Recycled PET,60.0,15.0,1.0,1.8,75.0,90.0,General Packaging,Literature,High,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.5876288659793815,0.008678237650200267,0.2553191489361702,0.7446808510638299,46.105927300596164
10.0,Sugarcane Bagasse,12.0,7.0,90.0,0.4,80.0,50.0,Food Packaging,Literature,High,0.007477906186267848,0.9,B,0.75,89.20088375254929,0.09278350515463918,0.0033377837116154874,0.11347517730496454,0.8865248226950355,30.407218398385094
11.0,Wood Pulp Molded Fiber,10.0,6.0,85.0,0.5,75.0,55.0,Electronics Packaging,Literature,High,0.014276002719238614,0.85,B,0.75,87.42895989123046,0.07216494845360824,0.0026702269692923898,0.13120567375886524,0.8687943262411347,29.030534534457143
12.0,Corrugated Paperboard,16.0,20.0,5.0,1.2,92.0,48.0,Electronics Packaging,Literature,High,0.06186267845003398,0.05,A,1.0,69.02549286199864,0.13402061855670103,0.012016021361815754,0.10638297872340426,0.8936170212765957,32.52981602142039
13.0,Cotton Fabric Wrap,20.0,8.0,90.0,0.6,70.0,100.0,Food/Cosmetics,Literature,Medium,0.02107409925220938,0.9,B,0.75,88.65703602991162,0.17525773195876287,0.004005340453938585,0.2907801418439716,0.7092198581560284,28.407065236649526
14.0,Jute Bag,25.0,12.0,95.0,0.5,85.0,90.0,Food/Cosmetics,Literature,Medium,0.014276002719238614,0.95,B,0.75,90.42895989123045,0.2268041237113402,0.006675567423230975,0.2553191489361702,0.7446808510638299,31.612857503065435
15.0,PLA Sheet,50.0,12.0,80.0,0.55,70.0,125.0,Food Packaging,Literature,High,0.017675050985724,0.8,B,0.75,85.79299796057104,0.4845360824742268,0.006675567423230975,0.37943262411347517,0.6205673758865249,38.198731598261745
16.0,Polylactic Acid Blend,45.0,10.0,80.0,0.5,70.0,118.0,Food/Cosmetic,Literature,High,0.014276002719238614,0.8,B,0.75,85.92895989123045,0.4329896907216495,0.0053404539385847796,0.3546099290780142,0.6453900709219857,36.84150337468309
17.0,Biodegradable Film,30.0,8.0,85.0,0.6,65.0,105.0,Food Packaging,Literature,High,0.02107409925220938,0.85,C,0.5,79.65703602991164,0.27835051546391754,0.004005340453938585,0.30851063829787234,0.6914893617021276,31.998861683238687
18.0,Aluminum Foil,70.0,20.0,1.0,8.0,90.0,150.0,Food Packaging,Literature,High,0.5241332426920462,0.01,A,1.0,49.33467029231815,0.6907216494845361,0.012016021361815754,0.46808510638297873,0.5319148936170213,43.94679342874655
19.0,Glass Bottle,90.0,25.0,0.0,2.5,95.0,120.0,Drinkware,Literature,High,0.15023793337865396,0.0,A,1.0,63.99048266485384,0.8969072164948454,0.015353805073431242,0.3617021276595745,0.6382978723404256,55.48583898220952
20.0,Steel Can,80.0,22.0,0.0,6.0,90.0,100.0,Food/Drink,Literature,High,0.38817131203263083,0.0,A,1.0,54.473147518694766,0.7938144329896907,0.01335113484646195,0.2907801418439716,0.7092198581560284,53.42970710966234
21.0,Mixed Plastic (HDPE+PET),60.0,15.0,1.0,3.5,60.0,90.0,General Packaging,Estimate,Medium,0.21821889870836164,0.01,C,0.5,46.57124405166554,0.5876288659793815,0.008678237650200267,0.2553191489361702,0.7446808510638299,46.105927300596164
22.0,Recycled Mixed Plastic,60.0,15.0,1.0,2.0,70.0,85.0,General Packaging,Estimate,Medium,0.11624745071380013,0.01,B,0.75,58.15010197144799,0.5876288659793815,0.008678237650200267,0.2375886524822695,0.7624113475177305,46.637842194213185
23.0,PLA Compostable Pack,50.0,10.0,85.0,0.55,70.0,115.0,Food/Cosmetics,Literature,High,0.017675050985724,0.85,B,0.75,87.29299796057104,0.4845360824742268,0.0053404539385847796,0.34397163120567376,0.6560283687943262,39.2225079809564
24.0,Paper Pulp Tray,14.0,10.0,80.0,0.9,88.0,50.0,Food Packaging,Estimate,Medium,0.04146838885112169,0.8,B,0.75,84.84126444595513,0.1134020618556701,0.0053404539385847796,0.11347517730496454,0.8865248226950355,31.292040773235414
25.0,Cardboard Sleeve,16.0,12.0,5.0,1.1,92.0,42.0,Electronics Packaging,Estimate,Medium,0.055064581917063225,0.05,A,1.0,69.29741672331747,0.13402061855670103,0.006675567423230975,0.0851063829787234,0.9148936170212766,33.00790027560327
26.0,PLA Clamshell,48.0,9.0,80.0,0.52,70.0,120.0,Food Packaging,Literature,High,0.01563562202583277,0.8,B,0.75,85.87457511896669,0.4639175257731959,0.004672897196261682,0.3617021276595745,0.6382978723404256,37.84582411702845
27.0,Recycled Cardboard Box,15.0,15.0,5.0,0.83,95.0,41.0,General Packaging,Literature,High,0.036709721278042146,0.05,A,1.0,70.03161114887831,0.12371134020618557,0.008678237650200267,0.08156028368794327,0.9184397163120568,32.76199222711513
28.0,Virgin Cardboard - Heavy Duty,18.0,20.0,5.0,1.2,90.0,48.0,Electronics Packaging,Estimate,Medium,0.06186267845003398,0.05,A,1.0,69.02549286199864,0.15463917525773196,0.012016021361815754,0.10638297872340426,0.8936170212765957,33.35455828946162
29.0,Virgin Cardboard - Lightweight,12.0,10.0,5.0,1.1,90.0,42.0,Light Packaging,Estimate,Medium,0.055064581917063225,0.05,A,1.0,69.29741672331747,0.09278350515463918,0.0053404539385847796,0.0851063829787234,0.9148936170212766,31.31836233498141
30.0,Recycled Cardboard - Heavy Duty,18.0,20.0,5.0,0.85,95.0,43.0,Electronics Packaging,Estimate,Medium,0.038069340584636305,0.05,A,1.0,69.97722637661454,0.15463917525773196,0.012016021361815754,0.08865248226950355,0.9113475177304965,33.88647318307864
31.0,Recycled Cardboard - Lightweight,12.0,10.0,5.0,0.8,95.0,38.0,Light Packaging,Estimate,Medium,0.034670292318150914,0.05,A,1.0,70.11318830727397,0.09278350515463918,0.0053404539385847796,0.07092198581560284,0.9290780141843972,31.743894249875027
32.0,Virgin Cardboard - Food Grade,16.0,15.0,5.0,1.15,90.0,47.0,Food Packaging,Estimate,Medium,0.058463630183548596,0.05,A,1.0,69.16145479265805,0.13402061855670103,0.008678237650200267,0.10283687943262411,0.8971631205673759,32.53606548879532
33.0,Recycled Cardboard - Food Grade,16.0,15.0,5.0,0.84,95.0,41.0,Food Packaging,Estimate,Medium,0.037389530931339225,0.05,A,1.0,70.00441876274644,0.13402061855670103,0.008678237650200267,0.08156028368794327,0.9184397163120568,33.17436336113575
34.0,Virgin Paper - Coated,6.0,6.0,5.0,0.95,80.0,37.0,Labels & Inserts,Estimate,Medium,0.04486743711760706,0.05,B,0.75,62.20530251529573,0.030927835051546393,0.0026702269692923898,0.0673758865248227,0.9326241134751773,29.29594361539595
35.0,Virgin Paper - Uncoated,5.0,5.0,5.0,0.9,85.0,34.0,Light Packaging,Literature,High,0.04146838885112169,0.05,B,0.75,62.34126444595513,0.020618556701030927,0.0020026702269692926,0.05673758865248227,0.9432624113475178,29.182694715275847
