product_id,product_name,category,product_weight_kg,fragility_index,shipping_type,weight_category,fragility_category
1,Chocolate Box,Food,0.5,2,Air,Very Light,Low Fragility
2,Smartphone,Electronics,0.3,5,Air,Very Light,Very High Fragility
3,Perfume Bottle,Cosmetics,0.2,4,Road,Very Light,High Fragility
4,Medicine Pack,Pharmacy,0.1,3,Air,Very Light,Medium Fragility
5,Snack Pack,Food,0.7,2,Road,Light,Low Fragility
6,Book,Paper Product,1.2,1,Sea,Light,Low Fragility
7,Glass Bottle,Drinkware,0.8,4,Sea,Light,High Fragility
8,Electronic Device (Accessory),Electronics,0.4,4,Road,Very Light,High Fragility
9,Cereal Box,Food,0.6,2,Air,Light,Low Fragility
10,Soap Pack,Cosmetics,0.3,2,Road,Very Light,Low Fragility
11,Vitamin Bottle,Pharmacy,0.2,3,Air,Very Light,Medium Fragility
12,Juice Bottle,Drinkware,1.0,3,Road,Light,Medium Fragility
13,Laptop,Electronics,2.5,5,Air,Medium,Very High Fragility
14,Tablet,Electronics,0.5,4,Air,Very Light,High Fragility
15,Shampoo Bottle,Cosmetics,0.4,3,Road,Very Light,Medium Fragility
16,Canned Beans,Food,0.5,2,Sea,Very Light,Low Fragility
17,Snack Bag,Food,0.2,2,Road,Very Light,Low Fragility
18,Wine Bottle,Drinkware,1.2,4,Sea,Light,High Fragility
19,Cheese Pack,Food,0.4,2,Air,Very Light,Low Fragility
20,Medicine Syrup,Pharmacy,0.3,3,Air,Very Light,Medium Fragility
21,Perfume Set,Cosmetics,0.6,4,Road,Light,High Fragility
22,Phone Case,Electronics,0.1,3,Road,Very Light,Medium Fragility
23,Tablet Cover,Electronics,0.2,3,Air,Very Light,Medium Fragility
24,Notebook,Paper Product,0.7,1,Air,Light,Low Fragility
25,Cereal Bag,Food,0.5,2,Road,Very Light,Low Fragility
26,Cosmetic Cream,Cosmetics,0.2,2,Road,Very Light,Low Fragility
27,Snack Box,Food,0.6,2,Air,Light,Low Fragility
28,Water Bottle,Drinkware,0.8,3,Road,Light,Medium Fragility
29,Energy Drink,Drinkware,0.5,2,Road,Very Light,Low Fragility
30,Headphones,Electronics,0.3,4,Air,Very Light,High Fragility
31,Book Set,Paper Product,2.5,1,Sea,Medium,Low Fragility
32,Medicine Box,Pharmacy,0.3,3,Air,Very Light,Medium Fragility
33,Shampoo Pack,Cosmetics,0.5,3,Road,Very Light,Medium Fragility
34,Snack Tray,Food,0.7,2,Road,Light,Low Fragility
35,Chocolate Bag,Food,0.4,2,Air,Very Light,Low Fragility
36,Coffee Pack,Food,0.3,2,Air,Very Light,Low Fragility
37,Lotion Bottle,Cosmetics,0.4,3,Road,Very Light,Medium Fragility
38,Tablet Device,Electronics,0.6,4,Air,Light,High Fragility
39,Smartwatch,Electronics,0.2,4,Air,Very Light,High Fragility
40,Vitamin Box,Pharmacy,0.5,3,Air,Very Light,Medium Fragility
41,Tea Box,Food,0.3,2,Air,Very Light,Low Fragility
42,Perfume Bottle Set,Cosmetics,0.7,4,Road,Light,High Fragility
43,Cereal Packet,Food,0.4,2,Road,Very Light,Low Fragility
44,Juice Pack,Food,0.5,2,Road,Very Light,Low Fragility
45,Snack Mix,Food,0.6,2,Road,Light,Low Fragility
46,Booklet,Paper Product,0.3,1,Air,Very Light,Low Fragility
47,Energy Bar,Food,0.2,2,Road,Very Light,Low Fragility
48,Medicine Capsule Pack,Pharmacy,0.1,3,Air,Very Light,Medium Fragility
49,Water Jug,Drinkware,2.0,3,Sea,Light,Medium Fragility
50,Electronic Kit,Electronics,1.0,4,Road,Light,High Fragility
51,Wireless Mouse,Electronics,0.15,3,Air,Very Light,Medium Fragility
52,Gaming Console,Electronics,3.0,4,Road,Medium,High Fragility
53,"LED Monitor 24""",Electronics,4.2,4,Sea,Medium,High Fragility
54,Power Bank Pack,Electronics,0.28,3,Air,Very Light,Medium Fragility
55,Bluetooth Speaker Box,Electronics,0.85,4,Road,Light,High Fragility
56,Graphic Tablet Set,Electronics,1.1,4,Air,Light,High Fragility
57,Ink Cartridge Pack,Electronics,0.4,3,Road,Very Light,Medium Fragility
58,"Smart TV 43""",Electronics,8.7,4,Sea,Heavy,High Fragility
59,WiFi Router,Electronics,0.5,3,Road,Very Light,Medium Fragility
60,USB Flash Drive Pack,Electronics,0.06,2,Air,Very Light,Low Fragility
61,Hardcover Novel,Paper Product,0.9,1,Road,Light,Low Fragility
62,Office Paper Ream,Paper Product,2.3,1,Road,Medium,Low Fragility
63,Sketchbook Set,Paper Product,0.6,1,Road,Light,Low Fragility
64,Daily Diary,Paper Product,0.4,1,Air,Very Light,Low Fragility
65,Magazine Bundle,Paper Product,1.0,1,Road,Light,Low Fragility
66,Planner Notebook,Paper Product,0.5,1,Air,Very Light,Low Fragility
67,Children Story Book,Paper Product,0.35,1,Air,Very Light,Low Fragility
68,Coloring Book Set,Paper Product,1.2,1,Road,Light,Low Fragility
69,Recipe Book,Paper Product,0.7,1,Road,Light,Low Fragility
70,Office File Folder Set,Paper Product,0.8,1,Road,Light,Low Fragility
71,Protein Bar Pack,Food,0.4,2,Road,Very Light,Low Fragility
72,Instant Noodles Pack,Food,0.5,2,Road,Very Light,Low Fragility
73,Pasta Box,Food,0.6,2,Road,Light,Low Fragility
74,Rice Bag 5kg,Food,5.0,1,Road,Medium,Low Fragility
75,Sugar Pack 2kg,Food,2.0,1,Road,Light,Low Fragility
76,Cookie Tin,Food,0.9,2,Road,Light,Low Fragility
77,Olive Oil Bottle,Food,1.0,3,Road,Light,Medium Fragility
78,Frozen Veggie Pack,Food,1.2,2,Air,Light,Low Fragility
79,Granola Pack,Food,0.5,2,Road,Very Light,Low Fragility
80,Spice Jar Set,Food,0.7,2,Air,Light,Low Fragility
81,Lipstick,Cosmetics,0.1,3,Road,Very Light,Medium Fragility
82,Face Serum Bottle,Cosmetics,0.15,4,Road,Very Light,High Fragility
83,Makeup Palette,Cosmetics,0.3,3,Road,Very Light,Medium Fragility
84,Compact Powder,Cosmetics,0.12,3,Road,Very Light,Medium Fragility
85,Nail Polish Set,Cosmetics,0.25,3,Road,Very Light,Medium Fragility
86,Face Wash Tube,Cosmetics,0.2,2,Road,Very Light,Low Fragility
87,Eyeshadow Kit,Cosmetics,0.22,3,Road,Very Light,Medium Fragility
88,Sunscreen Lotion,Cosmetics,0.3,2,Road,Very Light,Low Fragility
89,Beard Oil Bottle,Cosmetics,0.18,3,Road,Very Light,Medium Fragility
