product_id,product_name,category,product_weight_kg,fragility_index,shipping_type
1.0,Chocolate Box,Food,0.5,2.0,Air
2.0,Smartphone,Electronics,0.3,5.0,Air
3.0,Perfume Bottle,Cosmetics,0.2,4.0,Road
4.0,Medicine Pack,Pharmacy,0.1,3.0,Air
5.0,Snack Pack,Food,0.7,2.0,Road
6.0,Book,Paper Product,1.2,1.0,Sea
7.0,Glass Bottle,Drinkware,0.8,4.0,Sea
8.0,Electronic Device (Accessory),Electronics,0.4,4.0,Road
9.0,Cereal Box,Food,0.6,2.0,Air
10.0,Soap Pack,Cosmetics,0.3,2.0,Road
11.0,Vitamin Bottle,Pharmacy,0.2,3.0,Air
12.0,Juice Bottle,Drinkware,1.0,3.0,Road
13.0,Laptop,Electronics,2.5,5.0,Air
14.0,Tablet,Electronics,0.5,4.0,Air
15.0,Shampoo Bottle,Cosmetics,0.4,3.0,Road
16.0,Canned Beans,Food,0.5,2.0,Sea
17.0,Snack Bag,Food,0.2,2.0,Road
18.0,Wine Bottle,Drinkware,1.2,4.0,Sea
19.0,Cheese Pack,Food,0.4,2.0,Air
20.0,Medicine Syrup,Pharmacy,0.3,3.0,Air
21.0,Perfume Set,Cosmetics,0.6,4.0,Road
22.0,Phone Case,Electronics,0.1,3.0,Road
23.0,Tablet Cover,Electronics,0.2,3.0,Air
24.0,Notebook,Paper Product,0.7,1.0,Air
25.0,Cereal Bag,Food,0.5,2.0,Road
26.0,Cosmetic Cream,Cosmetics,0.2,2.0,Road
27.0,Snack Box,Food,0.6,2.0,Air
28.0,Water Bottle,Drinkware,0.8,3.0,Road
29.0,Energy Drink,Drinkware,0.5,2.0,Road
30.0,Headphones,Electronics,0.3,4.0,Air
31.0,Book Set,Paper Product,2.5,1.0,Sea
32.0,Medicine Box,Pharmacy,0.3,3.0,Air
33.0,Shampoo Pack,Cosmetics,0.5,3.0,Road
34.0,Snack Tray,Food,0.7,2.0,Road
35.0,Chocolate Bag,Food,0.4,2.0,Air
36.0,Coffee Pack,Food,0.3,2.0,Air
37.0,Lotion Bottle,Cosmetics,0.4,3.0,Road
38.0,Tablet Device,Electronics,0.6,4.0,Air
39.0,Smartwatch,Electronics,0.2,4.0,Air
40.0,Vitamin Box,Pharmacy,0.5,3.0,Air
41.0,Tea Box,Food,0.3,2.0,Air
42.0,Perfume Bottle Set,Cosmetics,0.7,4.0,Road
43.0,Cereal Packet,Food,0.4,2.0,Road
44.0,Juice Pack,Food,0.5,2.0,Road
45.0,Snack Mix,Food,0.6,2.0,Road
46.0,Booklet,Paper Product,0.3,1.0,Air
47.0,Energy Bar,Food,0.2,2.0,Road
48.0,Medicine Capsule Pack,Pharmacy,0.1,3.0,Air
49.0,Water Jug,Drinkware,2.0,3.0,Sea
50.0,Electronic Kit,Electronics,1.0,4.0,Road
51.0,Wireless Mouse,Electronics,0.15,3.0,Air
52.0,Gaming Console,Electronics,3.0,4.0,Road
53.0,"LED Monitor 24""",Electronics,4.2,4.0,Sea
54.0,Power Bank Pack,Electronics,0.28,3.0,Air
55.0,Bluetooth Speaker Box,Electronics,0.85,4.0,Road
56.0,Graphic Tablet Set,Electronics,1.1,4.0,Air
57.0,Ink Cartridge Pack,Electronics,0.4,3.0,Road
