product_id,material_name,predicted_cost,predicted_co2,recyclability,suitability_score
1,Cardboard,2.24,0.78,0.98,5.0
2,Paper/Bio-Based,1.82,0.52,1.0,3.0
3,Steel,25.0,3.67,0.87,8.666666666666666
4,Paper/Bio-Based,2.43,0.48,1.0,2.0
5,Paper/Bio-Based,1.69,0.41,1.0,2.6666666666666665
6,Plastic,12.45,1.01,0.85,7.333333333333333
7,Steel,25.48,3.43,0.91,8.666666666666666
8,Steel,25.61,3.64,0.96,9.0
9,Steel,25.17,3.59,0.94,8.666666666666666
10,Paper/Bio-Based,2.29,0.42,0.94,1.6666666666666667
11,Cardboard,3.48,0.66,1.0,4.666666666666667
12,Steel,24.43,3.45,0.87,8.333333333333334
13,Plastic,0.9,2.03,0.76,7.333333333333333
14,Paper/Bio-Based,2.34,0.46,1.0,3.3333333333333335
15,Plastic,12.56,1.03,0.87,7.666666666666667
16,Cardboard,3.05,0.77,0.93,4.333333333333333
17,Plastic,1.07,1.98,0.71,7.666666666666667
18,Plastic,1.49,1.91,0.62,8.0
19,Plastic,12.14,0.95,0.86,7.666666666666667
20,Cardboard,3.44,0.79,0.92,4.666666666666667
21,Paper/Bio-Based,1.76,0.47,1.0,2.6666666666666665
22,Plastic,14.36,1.15,0.94,8.0
23,Cardboard,3.77,0.76,0.9,4.0
24,Plastic,12.18,1.07,0.88,7.333333333333333
25,Plastic,1.07,1.98,0.63,8.0
26,Paper/Bio-Based,2.74,0.57,1.0,2.6666666666666665
27,Cardboard,3.14,0.8,1.0,4.333333333333333
28,Plastic,14.94,1.22,0.92,7.666666666666667
29,Plastic,14.4,1.04,0.91,7.333333333333333
30,Steel,25.65,3.49,1.0,9.333333333333334
31,Steel,25.95,3.43,0.98,8.666666666666666
32,Plastic,11.82,0.86,0.9,7.666666666666667
33,Cardboard,2.66,0.79,0.94,4.0
34,Cardboard,2.83,0.77,0.99,4.333333333333333
35,Plastic,1.27,1.98,0.7,8.333333333333334
36,Plastic,2.18,1.95,0.66,8.0
37,Plastic,1.21,1.91,0.55,8.333333333333334
38,Steel,24.34,3.51,0.97,9.0
39,Cardboard,3.31,0.92,1.0,4.666666666666667
40,Cardboard,2.59,0.77,1.0,4.0
41,Plastic,14.96,1.07,0.86,7.0
42,Steel,24.67,3.48,0.93,9.666666666666666
43,Paper/Bio-Based,1.75,0.62,1.0,2.0
44,Steel,24.23,3.65,0.89,9.333333333333334
45,Paper/Bio-Based,1.83,0.49,1.0,2.0
46,Plastic,14.57,1.24,0.84,7.666666666666667
47,Plastic,11.76,0.89,0.8,8.0
48,Cardboard,3.23,0.86,1.0,4.0
49,Plastic,14.48,1.19,0.88,8.333333333333334
50,Cardboard,2.68,0.94,0.93,4.333333333333333
51,Plastic,1.18,2.14,0.78,8.666666666666666
52,Plastic,11.28,1.01,0.81,8.333333333333334
53,Plastic,11.84,0.92,0.79,8.333333333333334
54,Plastic,15.15,1.19,0.87,7.333333333333333
55,Plastic,12.2,0.96,0.8,7.666666666666667
56,Paper/Bio-Based,2.61,0.47,1.0,1.6666666666666667
57,Plastic,11.73,0.99,0.8,8.0
58,Cardboard,2.8,0.77,1.0,5.0
59,Cardboard,2.91,0.84,0.95,5.0
60,Cardboard,2.95,0.74,1.0,4.333333333333333
61,Cardboard,3.62,0.92,0.96,4.666666666666667
62,Paper/Bio-Based,1.63,0.31,0.95,2.6666666666666665
63,Steel,25.34,3.58,0.81,9.333333333333334
64,Plastic,0.21,2.04,0.69,7.666666666666667
65,Plastic,14.59,1.1,0.8,8.0
66,Cardboard,3.23,0.77,1.0,4.666666666666667
67,Plastic,11.34,0.99,0.84,7.666666666666667
68,Cardboard,2.69,0.86,0.97,5.333333333333333
69,Plastic,12.73,0.9,0.82,8.0
70,Plastic,2.02,1.94,0.73,8.0
71,Plastic,1.47,2.0,0.68,8.0
72,Plastic,1.91,1.92,0.73,7.0
73,Plastic,11.69,0.98,0.92,8.0
74,Cardboard,2.82,0.75,1.0,4.0
75,Plastic,0.92,1.99,0.82,8.666666666666666
76,Paper/Bio-Based,1.23,0.39,0.99,2.3333333333333335
