product id,Product-Name,Category ,product_weight(kg),fragilityIndex,ship_type,is_active
10,Laptop,electronics,0.014,4.0,sea,true
15,Wine Glass,luxury,0.01,3.0,road,FALSE
87,Handcrafted Soap,cosmetics,0.136,9.0,AIR,True
39,Protein Powder Box,food,1.319,4.0,road,
38,Bluetooth Speaker,household,0.147,,road,FALSE
21,Phone Charger - Model V,cosmetics,0.394,1.0,road,
14,Shampoo Bottle - Model O,cosmetics,0.363,3.0,air,yes
49,Baby Lotion - Model X,cosmetics,,8.0,road,yes
89,Desk Lamp,home_decor,1.208,,road,
91,Travel Mug - Model N,home_decor,0.827,9.0,ROAD,
25,Water Bottle,food,0.495,6.0,road,
99,Protein Powder Box,food,,4.0,road,
93,Face Cream,cosmetics,0.255 kg,5.0,ROAD,yes
51,Phone Charger,household,1.031,6.0,road,true
62,Wireless Earbuds,electronics,,7.0,road,true
41,T-Shirt,apparel,0.033,4.0, road,
50,VR Headset,electronics,0.573,8.0,road,true
60,External SSD,electronics,0.064,7.0,road,true
55,Water Bottle,food,0.193,6.0,air,yes
59,Desk Lamp,home_decor,1.967,5.0,road,true
76,Chocolate Gift Box,food,0.797,4.0,road,FALSE
85,Water Bottle,food,1.196,8.0,road,false
30,External SSD,electronics,0.014,8.0,sea,no
27,Handcrafted Soap,cosmetics,0.247,4.0,AIR,
52,Action Camera,electronics,0.163 kg,4.0,air,no
32,Wireless Earbuds,electronics,0.355 kg,6.0,air,true
81,Phone Charger,food,0.653,,road,yes
92,Wireless Earbuds,electronics,0.667,4.0,road,True
95,LED Bulb,apparel,0.01,3.0,air,
97,Organic Juice Bottle,food,2.289,3.0, road,true
54,Electric Toothbrush,pharma,0.098,3.0,road,true
17,Supplements Bottle,pharma,0.035,4.0,air,yes
45,Wine Glass,luxury,0.305,4.0,sea,true
67,Organic Juice Bottle,food,1.448,5.0,air,True
24,Electric Toothbrush,household,1.442,7.0,air,no
79,Baby Lotion,cosmetics,0.283,3.0,road,false
58,Toy Car,apparel,0.406 kg,4.0,road,True
9,Protein Powder Box,food,1.649,,sea,FALSE
63,Face Cream - Model L,cosmetics,0.156,3.0,road,true
70,Laptop - Model S,electronics,1.023,8.0,road,no
69,Protein Powder Box,food,0.614,4.0,road,True
40,Laptop,electronics,0.156,2.0,road,
53,Scented Candle,pharma,0.179,3.0,road,true
31,Travel Mug,home_decor,0.498,3.0,sea,false
94,Glass Perfume Bottle,cosmetics,0.104,3.0,sea,
94,Glass Perfume Bottle,cosmetics,0.104,3.0,sea,True
23,Scented Candle,food,0.043,3.0,air,false
33,Face Cream,cosmetics,approx 0.421,7.0,road,
64,Glass Perfume Bottle,cosmetics,0.223,5.0,AIR,True
37,Organic Juice Bottle,food,0.043 kg,5.0,road,
44,Shampoo Bottle,cosmetics,0.218,6.0,road,True
3,Face Cream,cosmetics,0.44,1.0,road,yes
22,Action Camera,electronics,0.494,4.0,road,
72,Smartwatch,electronics,0.263,,road,true
78,Wooden Decor Item,home_decor,0.585,6.0,road,
86,Sneakers,apparel,0.297,7.0,road,no
68,Bluetooth Speaker,pharma,0.089,5.0,sea,
73,Packaged Cookies,food,0.021,4.0,road,
43,Packaged Cookies,food,,2.0,road,no
20,VR Headset,electronics,0.35,4.0,road,no
82,Action Camera,electronics,,7.0,road,
6,Ceramic Plate,household,0.348,6.0,road,false
90,External SSD,electronics,0.903,7.0, road,true
46,Chocolate Gift Box,food,0.717,2.0,road,false
57,Handcrafted Soap,cosmetics,0.282,,air,
42,Smartwatch - Model Q,electronics,1.703,,road,FALSE
11,T-Shirt,apparel,0.092,3.0,road,FALSE
77,Supplements Bottle - Model Z,pharma,0.122,,air,
96,Ceramic Plate,pharma,,10.0,road,True
41,T-Shirt,apparel,0.033,4.0, road,FALSE
84,Electric Toothbrush - Model G,apparel,0.044,6.0,air,yes
28,Toy Car - Model C,luxury,1.148,8.0,road,true
46,Chocolate Gift Box,food,0.717 ,2.0,road,yes
8,Bluetooth Speaker,home decor,0.277 ,7.0,air,FALSE
75,Wine Glass,luxury,0.187,4.0,road,no
48,Wooden Decor Item,home_decor,0.526,3.0,air,FALSE
66,Ceramic Plate,home_decor,,6.0,road,true
47,Supplements Bottle,pharma,0.179,7.0,air,true
7,Organic Juice Bottle - Model H,food,,3.0,air,True
71,T-Shirt,apparel,0.178,1.0,air,
56,Sneakers - Model E,apparel,0.268,1.0,air,no
61,Travel Mug,pharma,0.109,,road,false
98,Bluetooth Speaker - Model U,pharma,,6.0,AIR,
34,Glass Perfume Bottle,cosmetics,0.186,6.0,ROAD,false
13,Packaged Cookies,food,0.624,5.0,road,no
1,Travel Mug,luxury,,3.0,road,FALSE
29,Desk Lamp,home_decor,,6.0,road,
36,Ceramic Plate,household,0.493,5.0,sea,true
26,Sneakers,apparel,0.167,2.0,air,true
8,Bluetooth Speaker,home decor,0.277,7.0,air,FALSE
19,Baby Lotion,cosmetics,0.473 kg,,road,
74,Shampoo Bottle,cosmetics,0.285,2.0,ROAD,false
16,Chocolate Gift Box,food,0.612,3.0,sea,
12,Smartwatch,electronics,0.916,8.0,AIR,yes
83,Scented Candle,household,0.869,,road,no
5,LED Bulb,pharma,0.18,4.0,road,no
80,VR Headset,electronics,0.832,7.0,air,
2,Wireless Earbuds,electronics,0.498,7.0,air,true
100,Laptop,electronics,0.739,2.0,road,
18,Wooden Decor Item,home_decor,,7.0,air,
88,Toy Car,household,0.101,4.0,road,
