product_id,product_name,category,product_weight_kg,fragility_index,shipping_type
1,Chocolate Box,Food,0.5,2,Air
2,Smartphone,Electronics,0.3,5,Air
3,Perfume Bottle,Cosmetics,0.2,4,Road
4,Medicine Pack,Pharmacy,0.1,3,Air
5,Snack Pack,Food,0.7,2,Road
6,Book,Paper Product,1.2,1,Sea
7,Glass Bottle,Drinkware,0.8,4,Sea
8,Electronic Device (Accessory),Electronics,0.4,4,Road
9,Cereal Box,Food,0.6,2,Air
10,Soap Pack,Cosmetics,0.3,2,Road
11,Vitamin Bottle,Pharmacy,0.2,3,Air
12,Juice Bottle,Drinkware,1.0,3,Road
13,Laptop,Electronics,2.5,5,Air
14,Tablet,Electronics,0.5,4,Air
15,Shampoo Bottle,Cosmetics,0.4,3,Road
16,Canned Beans,Food,0.5,2,Sea
17,Snack Bag,Food,0.2,2,Road
18,Wine Bottle,Drinkware,1.2,4,Sea
19,Cheese Pack,Food,0.4,2,Air
20,Medicine Syrup,Pharmacy,0.3,3,Air
21,Perfume Set,Cosmetics,0.6,4,Road
22,Phone Case,Electronics,0.1,3,Road
23,Tablet Cover,Electronics,0.2,3,Air
24,Notebook,Paper Product,0.7,1,Air
25,Cereal Bag,Food,0.5,2,Road
26,Cosmetic Cream,Cosmetics,0.2,2,Road
27,Snack Box,Food,0.6,2,Air
28,Water Bottle,Drinkware,0.8,3,Road
29,Energy Drink,Drinkware,0.5,2,Road
30,Headphones,Electronics,0.3,4,Air
31,Book Set,Paper Product,2.5,1,Sea
32,Medicine Box,Pharmacy,0.3,3,Air
33,Shampoo Pack,Cosmetics,0.5,3,Road
34,Snack Tray,Food,0.7,2,Road
35,Chocolate Bag,Food,0.4,2,Air
36,Coffee Pack,Food,0.3,2,Air
37,Lotion Bottle,Cosmetics,0.4,3,Road
38,Tablet Device,Electronics,0.6,4,Air
39,Smartwatch,Electronics,0.2,4,Air
40,Vitamin Box,Pharmacy,0.5,3,Air
41,Tea Box,Food,0.3,2,Air
42,Perfume Bottle Set,Cosmetics,0.7,4,Road
43,Cereal Packet,Food,0.4,2,Road
44,Juice Pack,Food,0.5,2,Road
45,Snack Mix,Food,0.6,2,Road
46,Booklet,Paper Product,0.3,1,Air
47,Energy Bar,Food,0.2,2,Road
48,Medicine Capsule Pack,Pharmacy,0.1,3,Air
49,Water Jug,Drinkware,2.0,3,Sea
50,Electronic Kit,Electronics,1.0,4,Road
51,Wireless Mouse,Electronics,0.15,3,Air
52,Gaming Console,Electronics,3.0,4,Road
53,LED Monitor 24",Electronics,4.2,4,Sea
54,Power Bank Pack,Electronics,0.28,3,Air
55,Bluetooth Speaker Box,Electronics,0.85,4,Road
56,Graphic Tablet Set,Electronics,1.1,4,Air
57,Ink Cartridge Pack,Electronics,0.4,3,Road
58,Smart TV 43",Electronics,8.7,4,Sea
59,WiFi Router,Electronics,0.5,3,Road
60,USB Flash Drive Pack,Electronics,0.06,2,Air
61,Hardcover Novel,Paper Product,0.9,1,Road
62,Office Paper Ream,Paper Product,2.3,1,Road
63,Sketchbook Set,Paper Product,0.6,1,Road
64,Daily Diary,Paper Product,0.4,1,Air
65,Magazine Bundle,Paper Product,1.0,1,Road
66,Planner Notebook,Paper Product,0.5,1,Air
67,Children Story Book,Paper Product,0.35,1,Air
68,Coloring Book Set,Paper Product,1.2,1,Road
69,Recipe Book,Paper Product,0.7,1,Road
70,Office File Folder Set,Paper Product,0.8,1,Road
71,Protein Bar Pack,Food,0.4,2,Road
72,Instant Noodles Pack,Food,0.5,2,Road
73,Pasta Box,Food,0.6,2,Road
74,Rice Bag 5kg,Food,5.0,1,Road
75,Sugar Pack 2kg,Food,2.0,1,Road
76,Cookie Tin,Food,0.9,2,Road
77,Olive Oil Bottle,Food,1.0,3,Road
78,Frozen Veggie Pack,Food,1.2,2,Air
79,Granola Pack,Food,0.5,2,Road
80,Spice Jar Set,Food,0.7,2,Air
81,Lipstick,Cosmetics,0.1,3,Road
82,Face Serum Bottle,Cosmetics,0.15,4,Road
83,Makeup Palette,Cosmetics,0.3,3,Road
84,Compact Powder,Cosmetics,0.12,3,Road
85,Nail Polish Set,Cosmetics,0.25,3,Road
86,Face Wash Tube,Cosmetics,0.2,2,Road
87,Eyeshadow Kit,Cosmetics,0.22,3,Road
88,Sunscreen Lotion,Cosmetics,0.3,2,Road
89,Beard Oil Bottle,Cosmetics,0.18,3,Road
90,Hair Gel Jar,Cosmetics,0.35,2,Road
91,First Aid Kit,Pharmacy,0.8,3,Road
92,Digital Thermometer,Pharmacy,0.08,3,Air
93,Blood Pressure Monitor,Pharmacy,0.6,3,Road
94,Glucose Meter,Pharmacy,0.2,3,Air
95,Eye Drop Bottle,Pharmacy,0.05,3,Air
96,Nasal Spray,Pharmacy,0.07,3,Air
97,Pain Relief Ointment,Pharmacy,0.12,3,Road
98,Bandage Roll,Pharmacy,0.18,2,Road
99,Coffee Mug,Drinkware,0.35,2,Road
100,Thermos Flask,Drinkware,0.6,3,Road
101,Travel Tumbler,Drinkware,0.4,3,Road
102,Juice Bottle Pack,Drinkware,1.1,3,Road
103,Premium Wine Bottle,Drinkware,1.3,4,Sea
104,Glass Bottle Set,Drinkware,1.6,4,Sea
105,Water Bottle - Family Size,Drinkware,1.0,3,Road
106,Energy Drink Pack,Drinkware,0.9,2,Road
107,Snack Box - Value Pack,Food,0.8,2,Road
108,Snack Bag (Small),Food,0.25,2,Road
109,Chocolate Box - Premium,Food,0.6,2,Air
110,Cereal Box - Family Size,Food,0.9,2,Road
111,Tea Box Pack,Food,0.4,2,Air
112,Coffee Pack - Premium,Food,0.35,2,Air
113,Rice Bag (Small),Food,1.0,1,Road
114,Sugar Pack (Small),Food,1.0,1,Road
115,Granola Pack - Standard,Food,0.55,2,Road
116,Instant Noodles Pack - Value Pack,Food,0.8,2,Road
117,Smartphone - Standard,Electronics,0.32,5,Air
118,Smartphone - Premium,Electronics,0.29,5,Air
119,Tablet (Large),Electronics,0.65,4,Air
120,Tablet (Small),Electronics,0.45,4,Air
121,Laptop - Standard,Electronics,2.3,5,Air
122,Laptop - Premium,Electronics,2.7,5,Air
123,Headphones Set,Electronics,0.35,4,Air
124,Bluetooth Speaker - Premium,Electronics,0.9,4,Road
125,Wireless Mouse (Small),Electronics,0.12,3,Air
126,Power Bank - Standard,Electronics,0.22,3,Air
127,Smartwatch - Premium,Electronics,0.21,4,Air
128,Router (Dual Band),Electronics,0.52,3,Road
129,LED Monitor 27",Electronics,5.0,4,Sea
130,Smart TV 55",Electronics,11.0,4,Sea
131,Office Paper Ream Pack,Paper Product,4.5,1,Road
132,Notebook Set,Paper Product,1.1,1,Road
133,Sketchbook (Large),Paper Product,0.75,1,Road
134,Diary - Premium,Paper Product,0.45,1,Air
135,Magazine Bundle - Monthly,Paper Product,1.2,1,Road
136,Children Story Book Set,Paper Product,1.0,1,Road
137,Coloring Book Set - Value Pack,Paper Product,1.5,1,Road
138,Recipe Book - Family Edition,Paper Product,0.8,1,Road
139,Office File Folder Set - Large,Paper Product,1.0,1,Road
140,Hardcover Novel - Deluxe,Paper Product,1.1,1,Road
141,Perfume Bottle - Premium,Cosmetics,0.25,4,Road
142,Perfume Set - Family Size,Cosmetics,0.8,4,Road
143,Shampoo Bottle (Large),Cosmetics,0.6,3,Road
144,Shampoo Pack - Value Pack,Cosmetics,0.7,3,Road
145,Face Serum Bottle - Small,Cosmetics,0.12,4,Road
146,Lipstick Set,Cosmetics,0.18,3,Road
147,Compact Powder - Standard,Cosmetics,0.14,3,Road
148,Nail Polish Set - Premium,Cosmetics,0.3,3,Road
149,Sunscreen Lotion - Family Size,Cosmetics,0.45,2,Road
150,Hair Gel Jar - Large,Cosmetics,0.4,2,Road
151,Medicine Pack - Standard,Pharmacy,0.15,3,Air
152,Medicine Pack - Large,Pharmacy,0.25,3,Road
153,Medicine Syrup - Kids,Pharmacy,0.28,3,Air
154,Vitamin Bottle - Large,Pharmacy,0.35,3,Road
155,Vitamin Box - Family Pack,Pharmacy,0.6,3,Road
156,First Aid Kit - Premium,Pharmacy,1.0,3,Road
157,Blood Pressure Monitor Set,Pharmacy,0.7,3,Road
158,Glucose Meter Pack,Pharmacy,0.25,3,Air
159,Eye Drop Bottle - Small,Pharmacy,0.04,3,Air
160,Pain Relief Ointment Pack,Pharmacy,0.2,3,Road
161,Bandage Roll Set,Pharmacy,0.3,2,Road
162,Water Bottle Pack,Drinkware,1.4,3,Road
163,Travel Tumbler Set,Drinkware,0.9,3,Road
164,Thermos Flask - Large,Drinkware,0.85,3,Road
