product_id	recommended_material_id	cost_prediction	co2_prediction	material_rank	created_at
1	12	72	28	1	2025-01-02 10:45:22
1	3	85	32	2	2025-01-02 10:45:22
2	45	55	18	1	2025-01-03 12:15:10
2	7	63	21	2	2025-01-03 12:15:10
3	60	48	14	1	2025-01-04 09:18:42
3	9	65	25	2	2025-01-04 09:18:42
4	75	90	40	1	2025-01-04 11:00:41
4	2	110	55	2	2025-01-04 11:00:41
5	13	62	20	1	2025-01-05 08:22:10
5	91	78	29	2	2025-01-05 08:22:10
6	4	72	38	1	2025-01-05 17:12:50
6	42	81	41	2	2025-01-05 17:12:50
7	18	55	19	1	2025-01-06 10:11:33
7	100	69	25	2	2025-01-06 10:11:33
8	11	58	21	1	2025-01-08 15:14:22
8	6	79	33	2	2025-01-08 15:14:22
9	90	92	45	1	2025-01-09 16:20:45
9	44	110	52	2	2025-01-09 16:20:45
10	5	60	20	1	2025-01-10 18:18:18
10	32	81	37	2	2025-01-10 18:18:18
11	29	50	15	1	2025-01-11 10:00:10
11	77	65	29	2	2025-01-11 10:00:10
12	4	75	34	1	2025-01-11 22:41:33
12	9	90	49	2	2025-01-11 22:41:33
13	2	105	58	1	2025-01-12 13:14:55
13	71	118	66	2	2025-01-12 13:14:55
14	14	45	12	1	2025-01-12 14:40:22
14	7	67	21	2	2025-01-12 14:40:22
15	21	39	16	1	2025-01-13 08:30:10
15	29	56	22	2	2025-01-13 08:30:10
16	3	79	37	1	2025-01-13 09:19:18
16	45	93	50	2	2025-01-13 09:19:18
17	96	82	42	1	2025-01-14 10:51:11
17	25	102	55	2	2025-01-14 10:51:11
18	27	52	19	1	2025-01-14 20:22:44
18	17	70	33	2	2025-01-14 20:22:44
19	31	48	15	1	2025-01-15 09:12:39
19	65	66	24	2	2025-01-15 09:12:39
20	11	44	17	1	2025-01-15 14:17:10
20	6	82	39	2	2025-01-15 14:17:10
21	19	59	28	1	2025-01-16 10:10:10
21	20	73	35	2	2025-01-16 10:10:10
22	32	104	52	1	2025-01-16 12:12:33
22	2	120	66	2	2025-01-16 12:12:33
23	42	58	31	1	2025-01-16 15:19:41
23	9	88	47	2	2025-01-16 15:19:41
24	49	75	38	1	2025-01-17 11:01:01
24	6	96	52	2	2025-01-17 11:01:01
25	60	99	57	1	2025-01-17 16:44:18
25	3	115	69	2	2025-01-17 16:44:18
26	15	39	10	1	2025-01-18 10:44:22
26	80	65	22	2	2025-01-18 10:44:22
27	57	72	27	1	2025-01-18 13:10:05
27	3	88	35	2	2025-01-18 13:10:05
28	12	91	48	1	2025-01-19 08:22:33
28	10	110	63	2	2025-01-19 08:22:33
29	42	65	29	1	2025-01-19 16:40:55
29	3	90	48	2	2025-01-19 16:40:55
30	51	40	17	1	2025-01-19 20:21:29
30	19	63	27	2	2025-01-19 20:21:29
31	76	82	41	1	2025-01-20 09:09:09
31	88	96	54	2	2025-01-20 09:09:09
32	1	32	9	1	2025-01-20 18:18:18
32	29	55	21	2	2025-01-20 18:18:18
33	15	41	18	1	2025-01-21 11:00:00
33	5	70	33	2	2025-01-21 11:00:00
34	77	90	44	1	2025-01-22 07:22:20
34	11	105	60	2	2025-01-22 07:22:20
35	20	37	12	1	2025-01-22 13:40:40
35	75	59	26	2	2025-01-22 13:40:40
36	6	88	41	1	2025-01-23 09:55:33
36	3	99	52	2	2025-01-23 09:55:33
37	13	60	25	1	2025-01-23 12:33:49
37	91	85	39	2	2025-01-23 12:33:49
38	40	77	32	1	2025-01-24 10:44:55
38	15	90	45	2	2025-01-24 10:44:55
39	57	49	20	1	2025-01-24 14:52:15
39	8	80	39	2	2025-01-24 14:52:15
40	90	115	67	1	2025-01-25 11:11:11
40	5	138	88	2	2025-01-25 11:11:11
