,0
Material ID,0
Packaging Type,0
Material Type,0
Suitable Product Categories,0
Recommended Packaging Use Cases,0
Supplier Region,0
Recyclability (%),0
Recyclability Category,0
Recycled Content (%),0
Reusability (%),0
Biodegradation Time (days),0
End-of-Life Disposal (%),0
Carbon Footprint (kg CO2/unit),0
CO2 Emission per kg (estimated),0
Waste Reduction Impact (%),0
Sustainability Target Progress (%),0
Load Handling Score,0
Moisture Resistance Score,0
Thermal Resistance Score,0
Cost per Unit (USD),0
Annual Usage (units),0
Total Material Weight (tons),0
Supplier Sustainability Compliance (%),0
