category,product_weight_kg,fragility_index,shipping_type,material_type,packaging_type,supplier_region,biodegradation_time_days,recycled_content_percent,reusability_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,material_suitability_score,supplier_sustainability_compliance_percent,co2_impact_index,co2_impact_score,cost_impact_score
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,8.0,8.0,6.0,-20887.750000000004,97.0,1,0.5772720848326693,0.7225028965586306
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,73043.0,41.0,82.0,8.0,9.0,6.0,-29142.35,91.0,2,0.675753730937247,0.7635534537537343
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,58200.0,41.0,94.0,8.0,9.0,6.0,-23202.15,87.0,1,0.6431195949901892,0.6948849242497086
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,15440.0,34.0,89.0,8.0,7.0,7.0,-6101.85,91.0,1,0.6223209229179117,0.6549384356654616
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,40345.0,41.0,88.0,7.0,9.0,7.0,-16061.65,98.0,1,0.5773309221433414,0.6324396757386228
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,98971.0,42.0,91.0,8.0,8.0,8.0,-39510.95,93.0,1,0.599853986920684,0.6007960523596759
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,69350.0,36.0,89.0,9.0,9.0,7.0,-27665.15,90.0,2,0.6881134864252123,0.6002459959572986
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,70484.0,41.0,89.0,9.0,8.0,8.0,-28117.000000000004,96.0,1,0.6071944642292151,0.6020946386357042
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,53148.0,40.0,90.0,7.0,9.0,7.0,-21182.7,88.0,2,0.6992228605217831,0.6276526139252236
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,66060.0,42.0,95.0,8.0,8.0,8.0,-26345.55,94.0,1,0.5709865807756114,0.5817824046050081
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,50911.0,42.0,89.0,8.0,9.0,6.0,-20287.45,90.0,2,0.6417714333318607,0.6175488580973152
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,21746.0,39.0,83.0,9.0,8.0,7.0,-8624.0,82.0,2,0.6319529973563683,0.7546990451361582
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,46640.0,42.0,94.0,9.0,8.0,7.0,-18577.8,88.0,1,0.6409056919403655,0.612579070161632
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,84051.0,44.0,94.0,9.0,8.0,8.0,-33541.5,89.0,2,0.6823733078103991,0.5661191841257377
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,78380.0,39.0,87.0,9.0,9.0,8.0,-31276.6,87.0,1,0.6017287220826575,0.7349273009258822
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,22417.0,38.0,89.0,7.0,9.0,7.0,-8891.250000000002,98.0,2,0.6535528316039986,0.6025304241856404
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,86303.0,40.0,86.0,9.0,9.0,8.0,-34445.700000000004,85.0,1,0.5946402668706974,0.7484906686925166
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,89433.0,43.0,90.0,8.0,9.0,8.0,-35695.65,91.0,2,0.6808754229743044,0.6557950439325193
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,51800.0,38.0,93.0,7.0,9.0,7.0,-20643.45,86.0,2,0.6870433225895882,0.708950395716984
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,1,0.5392836431443909,0.7621413458535603
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,61952.0,43.0,89.0,8.0,9.0,7.0,-24703.500000000004,89.0,1,0.6215482744383138,0.6251883355133612
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,35850.0,44.0,87.0,8.0,7.0,7.0,-14262.85,89.0,2,0.6259617015313909,0.6467553357515079
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,68093.0,43.0,89.0,8.0,9.0,8.0,-27159.9,92.0,1,0.5705276866209094,0.5849573979009662
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,10935.0,36.0,92.0,8.0,7.0,6.0,-4298.4,91.0,1,0.615751570047967,0.6235606698926927
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,84260.0,38.0,94.0,8.0,8.0,6.0,-33627.2,88.0,2,0.7075944928067641,0.6051170191474045
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,37036.0,41.0,87.0,7.0,7.0,6.0,-14738.3,96.0,2,0.6323293402684622,0.7134356899981593
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,62453.0,36.0,92.0,8.0,9.0,8.0,-24905.6,90.0,2,0.7101230346233041,0.6355546534440675
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,68326.0,41.0,89.0,9.0,8.0,8.0,-27253.800000000003,86.0,2,0.6859117335695731,0.6813544037032147
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,8.0,9.0,6.0,-24086.2,88.0,2,0.6962144492026272,0.6188012460480019
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,86202.0,38.0,88.0,8.0,7.0,7.0,-34405.5,94.0,1,0.5964337976543876,0.7142947834295084
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,41490.0,36.0,88.0,7.0,7.0,7.0,-16521.4,86.0,1,0.6420594504862907,0.7315868155053293
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,1,0.5974345698759799,0.5683013582001653
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.5560982746953665,0.6486407894153501
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52150.0,41.0,86.0,8.0,9.0,6.0,-20784.15,90.0,1,0.5628579384211494,0.7624172678259803
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,69350.0,41.0,89.0,8.0,8.0,7.0,-27663.4,90.0,2,0.716559901819699,0.5990670127927081
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,46640.0,42.0,94.0,8.0,8.0,8.0,-18577.8,88.0,1,0.627728975077686,0.5982974504718159
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,9.0,8.0,7.0,-24086.2,88.0,1,0.679931947052538,0.6188012460480019
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,50911.0,42.0,89.0,7.0,8.0,8.0,-20287.45,90.0,1,0.5763196916304666,0.6002459959572986
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,37036.0,42.0,87.0,9.0,9.0,7.0,-14737.95,96.0,1,0.5815419269379707,0.7226865164816225
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,9.0,9.0,7.0,-20887.750000000004,97.0,1,0.5627882837539284,0.7225028965586306
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,1,0.5392836431443909,0.7621413458535603
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,2,0.6408202763241723,0.5893534829770198
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.5626503889701617,0.6387000734647488
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,10935.0,36.0,92.0,8.0,7.0,7.0,-4298.4,91.0,2,0.6620965238285526,0.6533284855122802
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,69350.0,41.0,89.0,7.0,9.0,8.0,-27663.4,90.0,1,0.6632191127615155,0.6002459959572986
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,52150.0,41.0,86.0,9.0,8.0,8.0,-20784.15,90.0,1,0.5293140567072528,0.7673524436688739
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,46640.0,42.0,94.0,9.0,9.0,7.0,-18577.8,88.0,2,0.6740392672105087,0.5683568061353871
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,35850.0,44.0,87.0,8.0,8.0,7.0,-14262.85,89.0,1,0.6009009612872307,0.5890705460487191
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,60408.0,40.0,92.0,8.0,7.0,7.0,-24086.2,88.0,2,0.6937646177978378,0.5894774185525897
