product_id,product_name,category,product_weight_kg,fragility_index,shipping_type,fragility_level,material_id,material_type,packaging_type,supplier_region,biodegradation_time_days,recycled_content_percent,reusability_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,cost_per_unit,co2_emission_score,material_suitability_score,supplier_sustainability_compliance_percent,sustainability_score_final,cost_noisy,cost_impact_index
2,Smartphone,Electronics,0.3,5,Air,,MAT_0006,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,8.0,8.0,6.0,12.45,1.41,-20887.750000000004,97.0,-5150.9935000000005,12.944727296399186,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0015,Plastic,Foldable & Stackable Containers,AMERICAS,73043.0,41.0,82.0,8.0,9.0,6.0,12.56,1.58,-29142.35,91.0,-7215.630500000001,12.421072030183195,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0019,Plastic,Foldable & Stackable Containers,LATAM,58200.0,41.0,94.0,8.0,9.0,6.0,12.14,1.47,-23202.15,87.0,-5731.037,12.769035108203393,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0024,Plastic,Foldable & Stackable Containers,EMEA,15440.0,34.0,89.0,8.0,7.0,7.0,12.18,1.35,-6101.85,91.0,-1455.33,13.66404029208398,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0032,Plastic,Foldable & Stackable Containers,ROW,40345.0,41.0,88.0,7.0,9.0,7.0,11.82,1.38,-16061.65,98.0,-3944.1505,11.598584568861613,1
2,Smartphone,Electronics,0.3,5,Air,,MAT_0047,Plastic,Foldable & Stackable Containers,EMEA,98971.0,42.0,91.0,8.0,8.0,8.0,11.76,1.41,-39510.95,93.0,-9807.221,11.53972395090221,1
2,Smartphone,Electronics,0.3,5,Air,,MAT_0052,Plastic,Foldable & Stackable Containers,APAC,69350.0,36.0,89.0,9.0,9.0,7.0,11.28,1.56,-27665.15,90.0,-6846.1535,12.70508164471387,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0053,Plastic,Foldable & Stackable Containers,EMEA,70484.0,41.0,89.0,9.0,8.0,8.0,11.84,1.47,-28117.000000000004,96.0,-6958.3245000000015,12.566914175453634,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0055,Plastic,Foldable & Stackable Containers,ROW,53148.0,40.0,90.0,7.0,9.0,7.0,12.2,1.6,-21182.7,88.0,-5226.085,11.741792999327485,1
2,Smartphone,Electronics,0.3,5,Air,,MAT_0057,Plastic,Foldable & Stackable Containers,EMEA,66060.0,42.0,95.0,8.0,8.0,8.0,11.73,1.46,-26345.55,94.0,-6515.731,12.23913834490107,2
2,Smartphone,Electronics,0.3,5,Air,,MAT_0067,Plastic,Foldable & Stackable Containers,ROW,50911.0,42.0,89.0,8.0,9.0,6.0,11.34,1.54,-20287.45,90.0,-5001.7365,10.919587469080534,1
