category,product_weight_kg,fragility_index,shipping_type,material_type,packaging_type,supplier_region,biodegradation_time_days,recycled_content_percent,reusability_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,material_suitability_score,supplier_sustainability_compliance_percent,cost_impact_index,cost_impact_score
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,8.0,8.0,6.0,-20887.750000000004,97.0,2,0.7305515028408089
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,73043.0,41.0,82.0,8.0,9.0,6.0,-29142.35,91.0,2,0.7783173241514973
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,58200.0,41.0,94.0,8.0,9.0,6.0,-23202.15,87.0,2,0.6206940774758978
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,15440.0,34.0,89.0,8.0,7.0,7.0,-6101.85,91.0,2,0.649520447918893
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,40345.0,41.0,88.0,7.0,9.0,7.0,-16061.65,98.0,1,0.5578236933168312
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,98971.0,42.0,91.0,8.0,8.0,8.0,-39510.95,93.0,1,0.633066527793981
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,69350.0,36.0,89.0,9.0,9.0,7.0,-27665.15,90.0,1,0.6007362347205312
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,70484.0,41.0,89.0,9.0,8.0,8.0,-28117.000000000004,96.0,1,0.649520447918893
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,53148.0,40.0,90.0,7.0,9.0,7.0,-21182.7,88.0,2,0.7062723474844173
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,66060.0,42.0,95.0,8.0,8.0,8.0,-26345.55,94.0,1,0.5790412879809193
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,50911.0,42.0,89.0,8.0,9.0,6.0,-20287.45,90.0,1,0.5729224134762325
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,21746.0,39.0,83.0,9.0,8.0,7.0,-8624.0,82.0,2,0.7803566791171154
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,46640.0,42.0,94.0,9.0,8.0,7.0,-18577.8,88.0,1,0.6205828053290234
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,84051.0,44.0,94.0,9.0,8.0,8.0,-33541.5,89.0,1,0.5543465318053449
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,78380.0,39.0,87.0,9.0,9.0,8.0,-31276.6,87.0,2,0.7416641528635499
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,22417.0,38.0,89.0,7.0,9.0,7.0,-8891.250000000002,98.0,1,0.6462317442134684
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,86303.0,40.0,86.0,9.0,9.0,8.0,-34445.700000000004,85.0,2,0.772363639829516
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,89433.0,43.0,90.0,8.0,9.0,8.0,-35695.65,91.0,2,0.6691985876599353
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,51800.0,38.0,93.0,7.0,9.0,7.0,-20643.45,86.0,2,0.6548720923428188
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,2,0.770901093025617
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,61952.0,43.0,89.0,8.0,9.0,7.0,-24703.500000000004,89.0,2,0.6462317442134684
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,35850.0,44.0,87.0,8.0,7.0,7.0,-14262.85,89.0,1,0.7158856041904229
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,68093.0,43.0,89.0,8.0,9.0,8.0,-27159.9,92.0,1,0.6007362347205312
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,10935.0,36.0,92.0,8.0,7.0,6.0,-4298.4,91.0,2,0.6137417147769135
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,84260.0,38.0,94.0,8.0,8.0,6.0,-33627.2,88.0,2,0.6206940774758978
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,37036.0,41.0,87.0,7.0,7.0,6.0,-14738.3,96.0,2,0.7045055179992267
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,62453.0,36.0,92.0,8.0,9.0,8.0,-24905.6,90.0,2,0.7002656958632272
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,68326.0,41.0,89.0,9.0,8.0,8.0,-27253.800000000003,86.0,2,0.6007362347205312
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,8.0,9.0,6.0,-24086.2,88.0,1,0.6254837917678036
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,86202.0,38.0,88.0,8.0,7.0,7.0,-34405.5,94.0,2,0.72902193970834
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,41490.0,36.0,88.0,7.0,7.0,7.0,-16521.4,86.0,2,0.7506317255683832
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,1,0.5543465318053449
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.7305515028408089
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52150.0,41.0,86.0,8.0,9.0,6.0,-20784.15,90.0,2,0.7760935788529092
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,69350.0,41.0,89.0,8.0,8.0,7.0,-27663.4,90.0,1,0.5790169363777397
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,46640.0,42.0,94.0,8.0,8.0,8.0,-18577.8,88.0,1,0.5855246630332072
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,9.0,8.0,7.0,-24086.2,88.0,1,0.6254837917678036
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,50911.0,42.0,89.0,7.0,8.0,8.0,-20287.45,90.0,1,0.6007362347205312
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,37036.0,42.0,87.0,9.0,9.0,7.0,-14737.95,96.0,2,0.7158856041904229
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,9.0,9.0,7.0,-20887.750000000004,97.0,2,0.7305515028408089
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,2,0.770901093025617
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,1,0.6206940774758978
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.7045055179992267
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,10935.0,36.0,92.0,8.0,7.0,7.0,-4298.4,91.0,2,0.7002656958632272
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,69350.0,41.0,89.0,7.0,9.0,8.0,-27663.4,90.0,1,0.6007362347205312
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,52150.0,41.0,86.0,9.0,8.0,8.0,-20784.15,90.0,2,0.7803566791171154
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,46640.0,42.0,94.0,9.0,9.0,7.0,-18577.8,88.0,1,0.5519080263922409
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,35850.0,44.0,87.0,8.0,8.0,7.0,-14262.85,89.0,1,0.5519320232773802
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,60408.0,40.0,92.0,8.0,7.0,7.0,-24086.2,88.0,1,0.6137417147769135
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,52407.0,38.0,87.0,8.0,9.0,8.0,-20887.750000000004,97.0,2,0.7400696211999729
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,69350.0,41.0,89.0,9.0,8.0,8.0,-27663.4,90.0,1,0.5729224134762325
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,2,0.7760935788529092
