product_id,product_name,category,product_weight_kg,fragility_index,shipping_type,normalized_product_weight,fragility_level
1,Chocolate Box,Food,0.5,2,Air,0.03125,
2,Smartphone,Electronics,0.3,5,Air,0.01875,
3,Perfume Bottle,Cosmetics,0.2,4,Road,0.0125,
4,Medicine Pack,Pharmacy,0.1,3,Air,0.00625,
5,Snack Pack,Food,0.7,2,Road,0.04375,
6,Book,Paper Product,1.2,1,Sea,0.075,high
7,Glass Bottle,Drinkware,0.8,4,Sea,0.05,
8,Electronic Device (Accessory),Electronics,0.4,4,Road,0.025,
9,Cereal Box,Food,0.6,2,Air,0.0375,
10,Soap Pack,Cosmetics,0.3,2,Road,0.01875,
11,Vitamin Bottle,Pharmacy,0.2,3,Air,0.0125,
12,Juice Bottle,Drinkware,1.0,3,Road,0.0625,
13,Laptop,Electronics,2.5,5,Air,0.15625,
14,Tablet,Electronics,0.5,4,Air,0.03125,
15,Shampoo Bottle,Cosmetics,0.4,3,Road,0.025,
16,Canned Beans,Food,0.5,2,Sea,0.03125,
17,Snack Bag,Food,0.2,2,Road,0.0125,
18,Wine Bottle,Drinkware,1.2,4,Sea,0.075,
19,Cheese Pack,Food,0.4,2,Air,0.025,
20,Medicine Syrup,Pharmacy,0.3,3,Air,0.01875,
21,Perfume Set,Cosmetics,0.6,4,Road,0.0375,
22,Phone Case,Electronics,0.1,3,Road,0.00625,
23,Tablet Cover,Electronics,0.2,3,Air,0.0125,
24,Notebook,Paper Product,0.7,1,Air,0.04375,high
25,Cereal Bag,Food,0.5,2,Road,0.03125,
26,Cosmetic Cream,Cosmetics,0.2,2,Road,0.0125,
27,Snack Box,Food,0.6,2,Air,0.0375,
28,Water Bottle,Drinkware,0.8,3,Road,0.05,
29,Energy Drink,Drinkware,0.5,2,Road,0.03125,
30,Headphones,Electronics,0.3,4,Air,0.01875,
31,Book Set,Paper Product,2.5,1,Sea,0.15625,high
32,Medicine Box,Pharmacy,0.3,3,Air,0.01875,
33,Shampoo Pack,Cosmetics,0.5,3,Road,0.03125,
34,Snack Tray,Food,0.7,2,Road,0.04375,
35,Chocolate Bag,Food,0.4,2,Air,0.025,
36,Coffee Pack,Food,0.3,2,Air,0.01875,
37,Lotion Bottle,Cosmetics,0.4,3,Road,0.025,
38,Tablet Device,Electronics,0.6,4,Air,0.0375,
39,Smartwatch,Electronics,0.2,4,Air,0.0125,
40,Vitamin Box,Pharmacy,0.5,3,Air,0.03125,
41,Tea Box,Food,0.3,2,Air,0.01875,
42,Perfume Bottle Set,Cosmetics,0.7,4,Road,0.04375,
43,Cereal Packet,Food,0.4,2,Road,0.025,
44,Juice Pack,Food,0.5,2,Road,0.03125,
45,Snack Mix,Food,0.6,2,Road,0.0375,
46,Booklet,Paper Product,0.3,1,Air,0.01875,high
47,Energy Bar,Food,0.2,2,Road,0.0125,
48,Medicine Capsule Pack,Pharmacy,0.1,3,Air,0.00625,
49,Water Jug,Drinkware,2.0,3,Sea,0.125,
50,Electronic Kit,Electronics,1.0,4,Road,0.0625,
51,Wireless Mouse,Electronics,0.15,3,Air,0.009375,
52,Gaming Console,Electronics,3.0,4,Road,0.1875,
53,"LED Monitor 24""",Electronics,4.2,4,Sea,0.2625,
54,Power Bank Pack,Electronics,0.28,3,Air,0.0175,
55,Bluetooth Speaker Box,Electronics,0.85,4,Road,0.053125,
56,Graphic Tablet Set,Electronics,1.1,4,Air,0.06875,
57,Ink Cartridge Pack,Electronics,0.4,3,Road,0.025,
58,"Smart TV 43""",Electronics,8.7,4,Sea,0.54375,
59,WiFi Router,Electronics,0.5,3,Road,0.03125,
60,USB Flash Drive Pack,Electronics,0.06,2,Air,0.00375,
61,Hardcover Novel,Paper Product,0.9,1,Road,0.05625,high
62,Office Paper Ream,Paper Product,2.3,1,Road,0.14375,high
63,Sketchbook Set,Paper Product,0.6,1,Road,0.0375,high
64,Daily Diary,Paper Product,0.4,1,Air,0.025,high
65,Magazine Bundle,Paper Product,1.0,1,Road,0.0625,high
66,Planner Notebook,Paper Product,0.5,1,Air,0.03125,high
67,Children Story Book,Paper Product,0.35,1,Air,0.021875,high
68,Coloring Book Set,Paper Product,1.2,1,Road,0.075,high
69,Recipe Book,Paper Product,0.7,1,Road,0.04375,high
70,Office File Folder Set,Paper Product,0.8,1,Road,0.05,high
71,Protein Bar Pack,Food,0.4,2,Road,0.025,
72,Instant Noodles Pack,Food,0.5,2,Road,0.03125,
73,Pasta Box,Food,0.6,2,Road,0.0375,
74,Rice Bag 5kg,Food,5.0,1,Road,0.3125,high
75,Sugar Pack 2kg,Food,2.0,1,Road,0.125,high
76,Cookie Tin,Food,0.9,2,Road,0.05625,
77,Olive Oil Bottle,Food,1.0,3,Road,0.0625,
78,Frozen Veggie Pack,Food,1.2,2,Air,0.075,
79,Granola Pack,Food,0.5,2,Road,0.03125,
80,Spice Jar Set,Food,0.7,2,Air,0.04375,
81,Lipstick,Cosmetics,0.1,3,Road,0.00625,
82,Face Serum Bottle,Cosmetics,0.15,4,Road,0.009375,
83,Makeup Palette,Cosmetics,0.3,3,Road,0.01875,
84,Compact Powder,Cosmetics,0.12,3,Road,0.0075,
85,Nail Polish Set,Cosmetics,0.25,3,Road,0.015625,
86,Face Wash Tube,Cosmetics,0.2,2,Road,0.0125,
87,Eyeshadow Kit,Cosmetics,0.22,3,Road,0.01375,
88,Sunscreen Lotion,Cosmetics,0.3,2,Road,0.01875,
89,Beard Oil Bottle,Cosmetics,0.18,3,Road,0.01125,
90,Hair Gel Jar,Cosmetics,0.35,2,Road,0.021875,
91,First Aid Kit,Pharmacy,0.8,3,Road,0.05,
92,Digital Thermometer,Pharmacy,0.08,3,Air,0.005,
93,Blood Pressure Monitor,Pharmacy,0.6,3,Road,0.0375,
94,Glucose Meter,Pharmacy,0.2,3,Air,0.0125,
95,Eye Drop Bottle,Pharmacy,0.05,3,Air,0.003125,
96,Nasal Spray,Pharmacy,0.07,3,Air,0.004375,
97,Pain Relief Ointment,Pharmacy,0.12,3,Road,0.0075,
98,Bandage Roll,Pharmacy,0.18,2,Road,0.01125,
99,Coffee Mug,Drinkware,0.35,2,Road,0.021875,
100,Thermos Flask,Drinkware,0.6,3,Road,0.0375,
101,Travel Tumbler,Drinkware,0.4,3,Road,0.025,
102,Juice Bottle Pack,Drinkware,1.1,3,Road,0.06875,
103,Premium Wine Bottle,Drinkware,1.3,4,Sea,0.08125,
104,Glass Bottle Set,Drinkware,1.6,4,Sea,0.1,
105,Water Bottle - Family Size,Drinkware,1.0,3,Road,0.0625,
106,Energy Drink Pack,Drinkware,0.9,2,Road,0.05625,
107,Snack Box - Value Pack,Food,0.8,2,Road,0.05,
108,Snack Bag (Small),Food,0.25,2,Road,0.015625,
109,Chocolate Box - Premium,Food,0.6,2,Air,0.0375,
110,Cereal Box - Family Size,Food,0.9,2,Road,0.05625,
111,Tea Box Pack,Food,0.4,2,Air,0.025,
112,Coffee Pack - Premium,Food,0.35,2,Air,0.021875,
113,Rice Bag (Small),Food,1.0,1,Road,0.0625,high
114,Sugar Pack (Small),Food,1.0,1,Road,0.0625,high
115,Granola Pack - Standard,Food,0.55,2,Road,0.034375,
116,Instant Noodles Pack - Value Pack,Food,0.8,2,Road,0.05,
117,Smartphone - Standard,Electronics,0.32,5,Air,0.02,
118,Smartphone - Premium,Electronics,0.29,5,Air,0.018125,
119,Tablet (Large),Electronics,0.65,4,Air,0.040625,
120,Tablet (Small),Electronics,0.45,4,Air,0.028125,
121,Laptop - Standard,Electronics,2.3,5,Air,0.14375,
122,Laptop - Premium,Electronics,2.7,5,Air,0.16875,
123,Headphones Set,Electronics,0.35,4,Air,0.021875,
124,Bluetooth Speaker - Premium,Electronics,0.9,4,Road,0.05625,
125,Wireless Mouse (Small),Electronics,0.12,3,Air,0.0075,
126,Power Bank - Standard,Electronics,0.22,3,Air,0.01375,
127,Smartwatch - Premium,Electronics,0.21,4,Air,0.013125,
128,Router (Dual Band),Electronics,0.52,3,Road,0.0325,
129,"LED Monitor 27""",Electronics,5.0,4,Sea,0.3125,
130,"Smart TV 55""",Electronics,11.0,4,Sea,0.6875,
131,Office Paper Ream Pack,Paper Product,4.5,1,Road,0.28125,high
132,Notebook Set,Paper Product,1.1,1,Road,0.06875,high
133,Sketchbook (Large),Paper Product,0.75,1,Road,0.046875,high
134,Diary - Premium,Paper Product,0.45,1,Air,0.028125,high
135,Magazine Bundle - Monthly,Paper Product,1.2,1,Road,0.075,high
136,Children Story Book Set,Paper Product,1.0,1,Road,0.0625,high
137,Coloring Book Set - Value Pack,Paper Product,1.5,1,Road,0.09375,high
138,Recipe Book - Family Edition,Paper Product,0.8,1,Road,0.05,high
139,Office File Folder Set - Large,Paper Product,1.0,1,Road,0.0625,high
140,Hardcover Novel - Deluxe,Paper Product,1.1,1,Road,0.06875,high
141,Perfume Bottle - Premium,Cosmetics,0.25,4,Road,0.015625,
142,Perfume Set - Family Size,Cosmetics,0.8,4,Road,0.05,
143,Shampoo Bottle (Large),Cosmetics,0.6,3,Road,0.0375,
144,Shampoo Pack - Value Pack,Cosmetics,0.7,3,Road,0.04375,
145,Face Serum Bottle - Small,Cosmetics,0.12,4,Road,0.0075,
146,Lipstick Set,Cosmetics,0.18,3,Road,0.01125,
147,Compact Powder - Standard,Cosmetics,0.14,3,Road,0.00875,
148,Nail Polish Set - Premium,Cosmetics,0.3,3,Road,0.01875,
149,Sunscreen Lotion - Family Size,Cosmetics,0.45,2,Road,0.028125,
150,Hair Gel Jar - Large,Cosmetics,0.4,2,Road,0.025,
151,Medicine Pack - Standard,Pharmacy,0.15,3,Air,0.009375,
