strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,co2_impact_index,cost_efficiency_index,material_suitability_score
45.7,1.58,96.1,26.9,69.8,44.7,80.1288284516661,48.711169500409504,32.010431768042864
73.4,11.53,22.1,38.4,81.8,186.06,54.43625721860072,42.917937402948695,74.05796806595252
68.1,7.96,79.8,8.9,76.3,111.77,82.8878042842369,51.88220195893688,61.49567295840834
43.0,6.6,63.3,9.0,94.1,42.29,83.30170910236343,56.12257559901107,46.75554570899888
32.8,0.87,81.9,12.6,50.2,33.84,73.21359674591264,45.3711357363639,21.373443004558883
62.4,6.69,68.7,22.8,69.0,29.64,71.65733776351534,66.03433016148705,58.76410555647432
33.8,6.17,92.3,15.6,79.6,56.26,86.1174696073562,49.05168697290975,37.37452889947047
28.0,2.71,84.6,17.6,67.7,74.06,78.56470903578702,37.617464414791904,21.701737743897304
31.0,6.5,91.0,17.6,81.9,37.16,85.77852816140454,52.79076507647154,31.749028779335543
61.3,4.09,70.7,14.0,48.9,115.24,68.35135954423512,42.62072556883118,45.98568334929931
29.7,9.56,95.7,14.3,60.6,56.77,81.10545417724258,52.7653427607376,43.87659053960864
77.1,19.35,52.7,56.5,40.8,179.16,44.5775273856306,58.00021218808935,81.17298118718269
54.3,4.49,74.9,12.5,86.8,95.68,83.6068844816853,45.06210804690989,46.91893669669519
56.7,13.07,59.5,42.6,51.5,182.83,55.491182926952185,40.04063643993617,56.08647249534282
56.5,9.15,90.2,14.9,58.0,63.49,78.06119194433168,60.26516629905756,59.51903280463564
60.2,10.54,96.5,11.7,65.1,103.86,83.85609915862756,54.82868239521292,53.74165405509981
34.1,5.48,93.3,14.7,90.1,43.59,90.45336017043265,50.88620944268884,30.335250707547907
30.7,5.99,61.4,16.6,80.6,27.89,75.2938546189031,53.93827826710292,27.662199623681243
52.6,7.5,70.9,3.6,81.1,68.82,83.27336607202803,55.10431754742565,46.71359927357374
30.5,6.34,84.1,12.0,53.8,27.84,75.45137526580594,54.42465309085684,28.160158578101747
44.2,6.84,85.7,13.8,76.3,118.07,83.26881430563091,40.14950104340349,37.41370131025078
13.8,6.53,85.1,9.0,53.5,26.39,76.72952729012992,49.04274562250136,21.296792241468083
31.5,7.73,95.9,13.1,68.4,34.53,84.31908360604108,55.47562383763346,32.733678032158714
34.3,5.72,87.9,21.5,70.6,57.97,79.39390737794963,48.14920357450573,39.882627865686025
32.2,7.51,81.6,20.3,75.9,26.15,79.45435356592762,57.23871344096301,34.2714365952826
67.7,1.16,73.4,3.8,42.0,108.44,70.39340626695675,41.84529003895069,41.70341994489395
24.3,5.87,89.0,3.6,72.1,51.04,86.46629892843868,46.32534523559453,23.540606852995417
52.5,5.38,87.9,13.8,42.3,69.97,72.13785867907009,51.49952720772029,41.396398448543245
42.5,7.88,84.6,17.6,72.9,53.03,80.38501241968433,55.565897931338334,48.718004324857326
57.0,1.29,87.0,19.0,68.8,71.05,79.30896699763363,46.48320203809179,35.398418899564085
49.0,8.08,83.3,12.3,87.1,70.89,86.72467403408206,54.25928175918292,44.04241542969298
57.8,1.78,79.3,17.4,41.2,105.16,67.4995331250926,39.9839248923498,36.75520215431564
32.5,3.18,64.6,22.4,83.9,54.49,75.57398481888633,44.30222964205253,23.782966115710213
49.8,3.18,66.9,23.8,90.7,59.57,78.2785286071869,49.39297149076584,44.84943318157848
61.3,5.54,80.8,16.2,57.0,114.46,73.96923677498401,45.060240856325095,45.55472972762135
37.4,7.63,89.4,7.6,94.3,37.74,93.00084474350048,56.72828621816682,42.160095234231896
38.8,6.75,86.1,16.3,67.5,25.6,79.467902604681,58.54363456636749,33.95603966636814
32.6,7.64,90.9,12.1,70.2,41.13,83.54108625411972,54.2687457110485,39.2460762685156
53.7,4.62,89.5,15.8,79.6,103.17,85.06731438030648,43.391314456952415,39.282797926814425
29.9,1.21,90.4,9.1,89.9,44.3,91.29470420500778,42.544665586329664,18.70458260134239
