material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case,co2_impact_index,cost_efficiency_index,material_suitability_score
1,Recycled Paper,45.7,1.58,96.1,26.9,69.8,44.7,Household,80.1288284516661,48.711169500409504,32.010431768042864
2,Glassine,73.4,11.53,22.1,38.4,81.8,186.06,Pharmacy,54.43625721860072,42.917937402948695,74.05796806595252
3,Compostable Film,68.1,7.96,79.8,8.9,76.3,111.77,Electronics,82.8878042842369,51.88220195893688,61.49567295840834
4,Paper,43.0,6.6,63.3,9.0,94.1,42.29,Pharmacy,83.30170910236343,56.12257559901107,46.75554570899888
5,Hemp Fiber,32.8,0.87,81.9,12.6,50.2,33.84,Apparel,73.21359674591264,45.3711357363639,21.373443004558883
6,Cardboard,62.4,6.69,68.7,22.8,69.0,29.64,Pharmacy,71.65733776351534,66.03433016148705,58.76410555647432
7,Cotton Fiber,33.8,6.17,92.3,15.6,79.6,56.26,Electronics,86.1174696073562,49.05168697290975,37.37452889947047
8,Sugarcane (Bagasse),28.0,2.71,84.6,17.6,67.7,74.06,Apparel,78.56470903578702,37.617464414791904,21.701737743897304
9,Corrugated Fiberboard,31.0,6.5,91.0,17.6,81.9,37.16,Household,85.77852816140454,52.79076507647154,31.749028779335543
10,PLA (Polylactic Acid),61.3,4.09,70.7,14.0,48.9,115.24,Household,68.35135954423512,42.62072556883118,45.98568334929931
11,Molded Pulp,29.7,9.56,95.7,14.3,60.6,56.77,Pharmacy,81.10545417724258,52.765342760737596,43.87659053960864
12,Aluminum (thin foil),77.1,19.35,52.7,56.5,40.8,179.16,Apparel,44.577527385630596,58.00021218808935,81.17298118718269
13,Compostable Film,54.3,4.49,74.9,12.5,86.8,95.68,Electronics,83.6068844816853,45.062108046909884,46.91893669669519
14,Glassine,56.7,13.07,59.5,42.6,51.5,182.83,Cosmetics,55.491182926952185,40.04063643993617,56.08647249534282
15,Starch-based Polymer,56.5,9.15,90.2,14.9,58.0,63.49,Pharmacy,78.06119194433168,60.26516629905756,59.51903280463564
