material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,Co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
1,Recycled Paper,45.7,1.58,96.1,26.9,69.8,44.7,Household
2,Glassine,73.4,11.53,22.1,38.4,81.8,186.06,Pharmacy
3,Compostable Film,68.1,7.96,79.8,8.9,76.3,111.77,Electronics
4,Paper,43,6.6,63.3,9,94.1,42.29,Pharmacy
5,Hemp Fiber,32.8,0.87,81.9,12.6,50.2,33.84,Apparel
6,Cardboard,62.4,6.69,68.7,22.8,69,29.64,Pharmacy
7,Cotton Fiber,33.8,6.17,92.3,15.6,79.6,56.26,Electronics
8,Sugarcane (Bagasse),28,2.71,84.6,17.6,67.7,74.06,Apparel
9,Corrugated Fiberboard,31,6.5,91,17.6,81.9,37.16,Household
10,PLA (Polylactic Acid),61.3,4.09,70.7,14,48.9,115.24,Household
11,Molded Pulp,29.7,9.56,95.7,14.3,60.6,56.77,Pharmacy
12,Aluminum (thin foil),77.1,19.35,52.7,56.5,40.8,179.16,Apparel
13,Compostable Film,54.3,4.49,74.9,12.5,86.8,95.68,Electronics
14,Glassine,56.7,13.07,59.5,42.6,51.5,182.83,Cosmetics
15,Starch-based Polymer,56.5,9.15,90.2,14.9,58,63.49,Pharmacy
16,PLA (Polylactic Acid),60.2,10.54,96.5,11.7,65.1,103.86,Furniture
17,Sugarcane (Bagasse),34.1,5.48,93.3,14.7,90.1,43.59,Apparel
18,Wood Pulp Board,30.7,5.99,61.4,16.6,80.6,27.89,Industrial Packaging
19,Bioplastic,52.6,7.5,70.9,3.6,81.1,68.82,Household
20,Cotton Fiber,30.5,6.34,84.1,12,53.8,27.84,Food
21,Bioplastic,44.2,6.84,85.7,13.8,76.3,118.07,Food
22,Hemp Fiber,13.8,6.53,85.1,9,53.5,26.39,Household
23,Sugarcane (Bagasse),31.5,7.73,95.9,13.1,68.4,34.53,Apparel
24,Cardboard,34.3,5.72,87.9,21.5,70.6,57.97,Pharmacy
25,Wood Pulp Board,32.2,7.51,81.6,20.3,75.9,26.15,Household
26,Bioplastic,67.7,1.16,73.4,3.8,42,108.44,Furniture
27,Sugarcane (Bagasse),24.3,5.87,89,3.6,72.1,51.04,Furniture
28,PLA (Polylactic Acid),52.5,5.38,87.9,13.8,42.3,69.97,Apparel
29,PLA (Polylactic Acid),42.5,7.88,84.6,17.6,72.9,53.03,Pharmacy
30,Compostable Film,57,1.29,87,19,68.8,71.05,Industrial Packaging
31,Starch-based Polymer,49,8.08,83.3,12.3,87.1,70.89,Apparel
32,Compostable Film,57.8,1.78,79.3,17.4,41.2,105.16,Toys
33,Wood Pulp Board,32.5,3.18,64.6,22.4,83.9,54.49,Toys
34,Molded Pulp,49.8,3.18,66.9,23.8,90.7,59.57,Pharmacy
35,PLA (Polylactic Acid),61.3,5.54,80.8,16.2,57,114.46,Industrial Packaging
36,Corrugated Fiberboard,37.4,7.63,89.4,7.6,94.3,37.74,Electronics
37,Hemp Fiber,38.8,6.75,86.1,16.3,67.5,25.6,Food
38,Cotton Fiber,32.6,7.64,90.9,12.1,70.2,41.13,Electronics
39,PLA (Polylactic Acid),53.7,4.62,89.5,15.8,79.6,103.17,Cosmetics
40,Hemp Fiber,29.9,1.21,90.4,9.1,89.9,44.3,Toys
41,Glassine,56.5,4.11,17.1,98.5,59.5,74.16,Electronics
42,Sugarcane (Bagasse),32,1.32,95.6,13.3,53.7,29.67,Toys
43,Glassine,62.4,19.76,28.7,63.4,75,192.61,Furniture
44,Starch-based Polymer,47.8,9.55,86.2,10.2,85.3,48.9,Apparel
45,Starch-based Polymer,52.9,6.42,70.3,11,42.8,49.51,Food
46,Aluminum (thin foil),74.8,15.43,39.2,116.6,40,100,Electronics
47,Aluminum (thin foil),57.6,17.63,21.2,116.7,11,195.78,Industrial Packaging
48,Hemp Fiber,31.8,1.33,90.5,17.5,73.5,59.62,Apparel
49,Hemp Fiber,30.1,5.81,88.6,12,76.3,74.56,Household
50,Cardboard,66.3,3.14,67.3,16.6,73.4,41.26,Apparel
51,Sugarcane (Bagasse),23.5,1.36,98.5,17.8,81.4,54.49,Cosmetics
52,Corrugated Fiberboard,51.4,7,66.3,27.8,91.3,57.74,Food
53,Compostable Film,49.2,8.98,87.8,10.1,86.6,109.29,Apparel
54,Starch-based Polymer,66.8,11.86,74.4,13.1,59,117.59,Cosmetics
55,Starch-based Polymer,50.3,10.26,94.3,11,60.7,61.87,Electronics
56,Cotton Fiber,30,6.34,98,15.6,61.1,49.78,Apparel
57,Cotton Fiber,30.4,1.73,98.1,11.7,60.3,61.94,Industrial Packaging
58,Glassine,47,4.04,43.6,76.8,71.8,132.82,Pharmacy
59,PLA (Polylactic Acid),67.8,10.37,86,12.5,83.8,72.28,Household
60,Hemp Fiber,35.2,5.87,84,4.2,50.7,44.28,Cosmetics
61,Starch-based Polymer,68.7,7.49,81.4,10.4,85.2,67.86,Industrial Packaging
62,Wood Pulp Board,58,4.27,84.3,26.6,96.1,21.62,Food
63,Glassine,71.1,18.68,34.6,53.2,46.7,197.2,Household
64,Corrugated Fiberboard,15.2,6.52,69.4,6.9,64.9,20.76,Food
65,Cardboard,38.9,1.94,65.4,21,66.9,30.56,Household
66,Wood Pulp Board,39.2,6.84,66.7,9.8,61.6,22.6,Apparel
67,Bioplastic,64.6,4.06,75.1,4.5,46,76.86,Food
68,Bioplastic,49.5,6.54,90,3.7,80,90.23,Electronics
69,Cardboard,25.6,1.28,94.1,28,62.3,27.46,Furniture
70,Cotton Fiber,34.9,2.13,84,7.9,71.8,59,Electronics
71,Hemp Fiber,36.1,3.46,88.8,14,51.7,38.88,Industrial Packaging
72,Hemp Fiber,34.6,4.48,90.1,3.7,70.1,54.29,Cosmetics
73,PLA (Polylactic Acid),58.1,3.67,77.8,9.4,41,65.77,Furniture
74,Starch-based Polymer,48.5,2.32,95.8,13.1,74,103.13,Cosmetics
75,Recycled Paper,27,5.24,63.4,18.4,82.3,48.54,Industrial Packaging
76,Cotton Fiber,21.7,2.84,86.9,12.3,75.7,44.59,Toys
77,Bioplastic,53.1,11.85,87.6,7,45.1,52.23,Industrial Packaging
78,Hemp Fiber,24.8,2.14,85.4,4.8,90.4,29.41,Pharmacy
79,Compostable Film,50.1,6.77,81.9,19.7,45.6,71.83,Apparel
80,Sugarcane (Bagasse),25.4,2.03,92.7,16.9,75.1,56.44,Household
81,Corrugated Fiberboard,49.1,3.16,90,9.7,72.3,34.14,Industrial Packaging
82,Corrugated Fiberboard,20.5,1.59,83.8,12.2,82.1,21.95,Electronics
