feature,importance
cost_norm,0.9800367164773184
co2_emission_kg_per_kg,0.005470098766545649
co2_impact_index,0.004070437747395946
material_suitability_score,0.0038688862157919683
co2_emission_norm,0.0038507863883211137
weight_capacity_kg,0.0009226332473994029
cost_efficiency_index,0.0005998736291762703
biodegradability_norm,0.0002163465303361764
recyclability_percent,0.00019838382972028274
biodegradability_percent,0.0001796467240065812
strength_mpa,0.00016390158887314454
recyclability_score,0.00015968325537088273
material_id,0.0001338094253820699
strength_norm,0.00012879617436205483
