feature,importance
material_type,0.88764846
packaging_type,0.09480175
recyclability_category,0.0076407883
biodegradation_time_days,0.0034640776
annual_usage_units,0.002941814
end_of_life_disposal_percent,0.0026795254
load_handling_score,0.00025490977
recycled_content_percent,0.00013506706
total_material_weight_tons,0.00010039377
reusability_percent,6.652449e-05
thermal_resistance_score,5.9962847e-05
recyclability_percent,5.2615775e-05
supplier_region,3.913044e-05
supplier_sustainability_compliance_percent,3.193009e-05
waste_reduction_impact_percent,3.0740375e-05
moisture_resistance_score,2.981554e-05
sustainability_target_progress_percent,2.254821e-05
