product_id,material_name,predicted_cost,predicted_co2,recyclability,suitability_score,norm_cost,norm_co2,final_score,rank
1,Cardboard,2.24,0.78,0.98,5.0,0.07886557886251495,0.13988095233932116,-1.5323760406394493,1.0
2,Paper/Bio-Based,1.82,0.52,1.0,3.0,0.06254856254613254,0.06249999998139882,-0.9624854312417405,1.0
3,Steel,25.0,3.67,0.87,8.666666666666666,0.9630924630550469,0.999999999702381,-2.0980722611727716,1.0
4,Paper/Bio-Based,2.43,0.48,1.0,2.0,0.08624708624373556,0.05059523808017998,-0.6589473027028253,1.0
5,Paper/Bio-Based,1.69,0.41,1.0,2.6666666666666665,0.0574980574958237,0.029761904753047047,-0.8738220113253387,1.0
6,Plastic,12.45,1.01,0.85,7.333333333333333,0.47552447550600135,0.20833333327132936,-2.0798426573668007,1.0
7,Steel,25.48,3.43,0.91,8.666666666666666,0.9817404817023411,0.9285714282950681,-2.117906427000777,1.0
8,Steel,25.61,3.64,0.96,9.0,0.98679098675265,0.9910714282764669,-2.2026412754912648,1.0
9,Steel,25.17,3.59,0.94,8.666666666666666,0.969696969659297,0.9761904758999432,-2.1102337663322275,1.0
10,Paper/Bio-Based,2.29,0.42,0.94,1.6666666666666667,0.08080808080494142,0.032738095228351756,-0.5599361471900121,1.0
11,Cardboard,3.48,0.66,1.0,4.666666666666667,0.12703962703469154,0.10416666663566469,-1.4306381118988933,1.0
12,Steel,24.43,3.45,0.87,8.333333333333334,0.9409479409113851,0.9345238092456775,-2.0243584749528813,1.0
13,Plastic,0.9,2.03,0.76,7.333333333333333,0.026806526805485377,0.5119047617524092,-2.1143866134326315,1.0
14,Paper/Bio-Based,2.34,0.46,1.0,3.333333333333333,0.08275058274736789,0.044642857129570584,-1.0617819680369185,1.0
15,Plastic,12.56,1.03,0.87,7.666666666666667,0.47979797977933963,0.21428571422193876,-2.1787748917996166,1.0
16,Cardboard,3.05,0.77,0.93,4.333333333333333,0.11033411032982385,0.13690476186401646,-1.3188283383418478,1.0
17,Plastic,1.07,1.98,0.71,7.666666666666667,0.0334110334097354,0.49702380937588575,-2.2118695471643135,1.0
18,Plastic,1.49,1.91,0.62,8.0,0.049728049726117794,0.4761904760487528,-2.3042244422675386,1.0
19,Plastic,12.14,0.95,0.86,7.666666666666667,0.46348096346295725,0.19047619041950112,-2.1898128538352624,1.0
20,Cardboard,3.44,0.79,0.92,4.666666666666667,0.12548562548075037,0.14285714281462586,-1.4114971695113874,1.0
21,Paper/Bio-Based,1.76,0.47,1.0,2.6666666666666665,0.06021756021522077,0.04761904760487528,-0.8676490176539711,1.0
22,Plastic,14.36,1.15,0.94,8.0,0.5497280497066928,0.2499999999255952,-2.2540815851103133,1.0
23,Cardboard,3.77,0.76,0.9,4.0,0.13830613830076513,0.13392857138871175,-1.208329587093157,1.0
24,Plastic,12.18,1.07,0.88,7.333333333333333,0.4650349650168984,0.2261904761231576,-2.0806323676579828,1.0
25,Plastic,1.07,1.98,0.63,8.0,0.0334110334097354,0.49702380937588575,-2.3038695471643136,1.0
26,Paper/Bio-Based,2.74,0.57,1.0,2.6666666666666665,0.09829059828677972,0.07738095235792232,-0.8472985348065893,1.0
27,Cardboard,3.14,0.8,1.0,4.333333333333333,0.11383061382619152,0.14583333328993056,-1.3221008158651633,1.0
28,Plastic,14.94,1.22,0.92,7.666666666666667,0.5722610722388399,0.2708333332527282,-2.1390716783525296,1.0
29,Plastic,14.4,1.04,0.91,7.333333333333333,0.551282051260634,0.2172619046972435,-2.0604368132126365,1.0
30,Steel,25.65,3.49,1.0,9.333333333333334,0.9883449883065911,0.9464285711468963,-2.319567932163954,1.0
31,Steel,25.95,3.43,0.98,8.666666666666666,0.99999999996115,0.9285714282950681,-2.1194285715231342,1.0
32,Plastic,11.82,0.86,0.9,7.666666666666667,0.4510489510314278,0.1636904761417588,-2.205578171848044,1.0
33,Cardboard,2.66,0.79,0.94,4.0,0.09518259517889735,0.14285714281462586,-1.222588078601943,1.0
34,Cardboard,2.83,0.77,0.99,4.333333333333333,0.10178710178314736,0.13690476186401646,-1.3273924409058506,1.0
35,Plastic,1.27,1.98,0.7,8.333333333333334,0.041181041179441304,0.49702380937588575,-2.4085385448334016,1.0
36,Plastic,2.18,1.95,0.66,8.0,0.07653457653160317,0.4880952379499716,-2.2966110556555273,1.0
37,Plastic,1.21,1.91,0.55,8.333333333333334,0.03885003884852953,0.4761904760487528,-2.4004878455308156,1.0
38,Steel,24.34,3.51,0.97,9.0,0.9374514374150175,0.9523809520975056,-2.2300502831462428,1.0
39,Cardboard,3.31,0.92,1.0,4.666666666666667,0.12043512043044154,0.18154761899358704,-1.4094051781727917,1.0
40,Cardboard,2.59,0.77,1.0,4.0,0.09246309245950027,0.13690476186401646,-1.231189643702945,1.0
41,Plastic,14.96,1.07,0.86,7.0,0.5730380730158106,0.2261904761231576,-1.9462314352583097,1.0
42,Steel,24.67,3.48,0.93,9.666666666666666,0.9502719502350323,0.9434523806715915,-2.4248827007280127,1.0
43,Paper/Bio-Based,1.75,0.62,1.0,2.0,0.059829059826735476,0.09226190473444586,-0.6543727106316456,1.0
44,Steel,24.23,3.65,0.89,9.333333333333334,0.9331779331416792,0.9940476187517715,-2.310832334431965,1.0
45,Paper/Bio-Based,1.83,0.49,1.0,2.0,0.06293706293461784,0.05357142855548469,-0.6650474525529692,1.0
46,Plastic,14.57,1.24,0.84,7.666666666666667,0.557886557864884,0.2767857142033376,-2.1335983183795335,1.0
47,Plastic,11.76,0.89,0.8,8.0,0.448717948700516,0.17261904756767293,-2.2935989011195432,1.0
48,Cardboard,3.23,0.86,1.0,4.0,0.11732711732255917,0.1636904761417588,-1.2156947219607046,1.0
49,Plastic,14.48,1.19,0.88,8.333333333333334,0.5543900543685163,0.26190476182681405,-2.343111555141401,1.0
50,Cardboard,2.68,0.94,0.93,4.333333333333333,0.09595959595586794,0.1874999999441964,-1.3079621212299806,1.0
51,Plastic,1.18,2.14,0.78,8.666666666666666,0.03768453768307364,0.5446428569807611,-2.503301781600849,1.0
52,Plastic,11.28,1.01,0.81,8.333333333333334,0.4300699300532218,0.20833333327132936,-2.3894790210026344,1.0
53,Plastic,11.84,0.92,0.79,8.333333333333334,0.45182595180839835,0.18154761899358704,-2.3889879287594047,1.0
54,Plastic,15.15,1.19,0.87,7.333333333333333,0.5804195803970311,0.26190476182681405,-2.0343026973328464,1.0
