rank,material_suitability_score,recyclability_percent,packaging_type,supplier_region,explanation
1,48.14814814814815,100,Cardboard Boxes,EMEA,"Rank #1 with score 0.848 | Breakdown: co2_emission: 0.277 (30%), cost: 0.270 (30%), material_suitability: 0.088 (25%), recyclability: 0.100 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 48.1, Recyclability: 100.0% | ✓ Sustainability bonus applied"
2,44.44444444444444,98,Cardboard Boxes,LATAM,"Rank #2 with score 0.830 | Breakdown: co2_emission: 0.278 (30%), cost: 0.270 (30%), material_suitability: 0.075 (25%), recyclability: 0.096 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 44.4, Recyclability: 98.0% | ✓ Sustainability bonus applied"
3,48.14814814814815,97,Cardboard Boxes,EMEA,"Rank #3 with score 0.827 | Breakdown: co2_emission: 0.280 (30%), cost: 0.271 (30%), material_suitability: 0.088 (25%), recyclability: 0.093 (10%), sustainability_compliance: 0.020 (5%) | Metrics: Suitability: 48.1, Recyclability: 97.0% | ✓ Sustainability bonus applied"
4,44.44444444444444,98,Cardboard Boxes,EMEA,"Rank #4 with score 0.825 | Breakdown: co2_emission: 0.274 (30%), cost: 0.276 (30%), material_suitability: 0.075 (25%), recyclability: 0.096 (10%), sustainability_compliance: 0.030 (5%) | Metrics: Suitability: 44.4, Recyclability: 98.0% | ✓ Sustainability bonus applied"
5,44.44444444444444,100,Cardboard Boxes,ROW,"Rank #5 with score 0.822 | Breakdown: co2_emission: 0.276 (30%), cost: 0.270 (30%), material_suitability: 0.075 (25%), recyclability: 0.100 (10%), sustainability_compliance: 0.027 (5%) | Metrics: Suitability: 44.4, Recyclability: 100.0% | ✓ Sustainability bonus applied"
6,44.44444444444444,93,Cardboard Boxes,AMERICAS,"Rank #6 with score 0.820 | Breakdown: co2_emission: 0.278 (30%), cost: 0.269 (30%), material_suitability: 0.075 (25%), recyclability: 0.084 (10%), sustainability_compliance: 0.039 (5%) | Metrics: Suitability: 44.4, Recyclability: 93.0% | ✓ Sustainability bonus applied"
7,44.44444444444444,95,Cardboard Boxes,EMEA,"Rank #7 with score 0.819 | Breakdown: co2_emission: 0.276 (30%), cost: 0.265 (30%), material_suitability: 0.075 (25%), recyclability: 0.089 (10%), sustainability_compliance: 0.039 (5%) | Metrics: Suitability: 44.4, Recyclability: 95.0% | ✓ Sustainability bonus applied"
8,44.44444444444444,97,Cardboard Boxes,EMEA,"Rank #8 with score 0.817 | Breakdown: co2_emission: 0.278 (30%), cost: 0.268 (30%), material_suitability: 0.075 (25%), recyclability: 0.093 (10%), sustainability_compliance: 0.028 (5%) | Metrics: Suitability: 44.4, Recyclability: 97.0% | ✓ Sustainability bonus applied"
9,85.18518518518518,82,Bubble Wrap (Minimal Use),EMEA,"Rank #9 with score 0.814 | Breakdown: co2_emission: 0.168 (30%), cost: 0.292 (30%), material_suitability: 0.213 (25%), recyclability: 0.060 (10%), sustainability_compliance: 0.008 (5%) | Metrics: Suitability: 85.2, Recyclability: 82.0% | ✓ Sustainability bonus applied"
10,44.44444444444444,99,Cardboard Boxes,EU,"Rank #10 with score 0.813 | Breakdown: co2_emission: 0.277 (30%), cost: 0.257 (30%), material_suitability: 0.075 (25%), recyclability: 0.098 (10%), sustainability_compliance: 0.032 (5%) | Metrics: Suitability: 44.4, Recyclability: 99.0% | ✓ Sustainability bonus applied"
