rank,material_suitability_score,recyclability_percent,packaging_type,supplier_region,explanation
1,85.18518518518518,82,Bubble Wrap (Minimal Use),EMEA,"Rank #1 with score 0.889 | Breakdown: co2_emission: 0.084 (15%), cost: 0.486 (50%), material_suitability: 0.170 (20%), recyclability: 0.060 (10%), sustainability_compliance: 0.008 (5%) | Metrics: Suitability: 85.2, Recyclability: 82.0% | ✓ Sustainability bonus applied"
2,48.14814814814815,100,Cardboard Boxes,EMEA,"Rank #2 with score 0.875 | Breakdown: co2_emission: 0.138 (15%), cost: 0.450 (50%), material_suitability: 0.070 (20%), recyclability: 0.100 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 48.1, Recyclability: 100.0% | ✓ Sustainability bonus applied"
3,44.44444444444444,98,Cardboard Boxes,EMEA,"Rank #3 with score 0.861 | Breakdown: co2_emission: 0.137 (15%), cost: 0.461 (50%), material_suitability: 0.060 (20%), recyclability: 0.096 (10%), sustainability_compliance: 0.030 (5%) | Metrics: Suitability: 44.4, Recyclability: 98.0% | ✓ Sustainability bonus applied"
4,44.44444444444444,98,Cardboard Boxes,LATAM,"Rank #4 with score 0.858 | Breakdown: co2_emission: 0.139 (15%), cost: 0.449 (50%), material_suitability: 0.060 (20%), recyclability: 0.096 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 44.4, Recyclability: 98.0% | ✓ Sustainability bonus applied"
5,48.14814814814815,97,Cardboard Boxes,EMEA,"Rank #5 with score 0.853 | Breakdown: co2_emission: 0.140 (15%), cost: 0.452 (50%), material_suitability: 0.070 (20%), recyclability: 0.093 (10%), sustainability_compliance: 0.020 (5%) | Metrics: Suitability: 48.1, Recyclability: 97.0% | ✓ Sustainability bonus applied"
6,44.44444444444444,100,Cardboard Boxes,ROW,"Rank #6 with score 0.852 | Breakdown: co2_emission: 0.138 (15%), cost: 0.450 (50%), material_suitability: 0.060 (20%), recyclability: 0.100 (10%), sustainability_compliance: 0.027 (5%) | Metrics: Suitability: 44.4, Recyclability: 100.0% | ✓ Sustainability bonus applied"
7,44.44444444444444,93,Cardboard Boxes,AMERICAS,"Rank #7 with score 0.849 | Breakdown: co2_emission: 0.139 (15%), cost: 0.449 (50%), material_suitability: 0.060 (20%), recyclability: 0.084 (10%), sustainability_compliance: 0.039 (5%) | Metrics: Suitability: 44.4, Recyclability: 93.0% | ✓ Sustainability bonus applied"
8,40.74074074074075,98,Cardboard Boxes,EU,"Rank #8 with score 0.846 | Breakdown: co2_emission: 0.137 (15%), cost: 0.449 (50%), material_suitability: 0.050 (20%), recyclability: 0.096 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 40.7, Recyclability: 98.0% | ✓ Sustainability bonus applied"
8,40.74074074074075,98,Cardboard Boxes,ROW,"Rank #8 with score 0.846 | Breakdown: co2_emission: 0.137 (15%), cost: 0.449 (50%), material_suitability: 0.050 (20%), recyclability: 0.096 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 40.7, Recyclability: 98.0% | ✓ Sustainability bonus applied"
8,40.74074074074075,98,Cardboard Boxes,LATAM,"Rank #8 with score 0.846 | Breakdown: co2_emission: 0.137 (15%), cost: 0.449 (50%), material_suitability: 0.050 (20%), recyclability: 0.096 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 40.7, Recyclability: 98.0% | ✓ Sustainability bonus applied"
