rank,material_suitability_score,recyclability_percent,packaging_type,supplier_region,explanation
1,48.14814814814815,100,Cardboard Boxes,EMEA,"Rank #1 with score 0.850 | Breakdown: co2_emission: 0.369 (40%), cost: 0.180 (20%), material_suitability: 0.088 (25%), recyclability: 0.100 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 48.1, Recyclability: 100.0% | ✓ Sustainability bonus applied"
2,44.44444444444444,98,Cardboard Boxes,LATAM,"Rank #2 with score 0.833 | Breakdown: co2_emission: 0.370 (40%), cost: 0.180 (20%), material_suitability: 0.075 (25%), recyclability: 0.096 (10%), sustainability_compliance: 0.036 (5%) | Metrics: Suitability: 44.4, Recyclability: 98.0% | ✓ Sustainability bonus applied"
3,48.14814814814815,97,Cardboard Boxes,EMEA,"Rank #3 with score 0.830 | Breakdown: co2_emission: 0.373 (40%), cost: 0.181 (20%), material_suitability: 0.088 (25%), recyclability: 0.093 (10%), sustainability_compliance: 0.020 (5%) | Metrics: Suitability: 48.1, Recyclability: 97.0% | ✓ Sustainability bonus applied"
4,44.44444444444444,100,Cardboard Boxes,ROW,"Rank #4 with score 0.825 | Breakdown: co2_emission: 0.368 (40%), cost: 0.180 (20%), material_suitability: 0.075 (25%), recyclability: 0.100 (10%), sustainability_compliance: 0.027 (5%) | Metrics: Suitability: 44.4, Recyclability: 100.0% | ✓ Sustainability bonus applied"
5,44.44444444444444,98,Cardboard Boxes,EMEA,"Rank #5 with score 0.824 | Breakdown: co2_emission: 0.365 (40%), cost: 0.184 (20%), material_suitability: 0.075 (25%), recyclability: 0.096 (10%), sustainability_compliance: 0.030 (5%) | Metrics: Suitability: 44.4, Recyclability: 98.0% | ✓ Sustainability bonus applied"
6,44.44444444444444,93,Cardboard Boxes,AMERICAS,"Rank #6 with score 0.824 | Breakdown: co2_emission: 0.370 (40%), cost: 0.180 (20%), material_suitability: 0.075 (25%), recyclability: 0.084 (10%), sustainability_compliance: 0.039 (5%) | Metrics: Suitability: 44.4, Recyclability: 93.0% | ✓ Sustainability bonus applied"
7,44.44444444444444,95,Cardboard Boxes,EMEA,"Rank #7 with score 0.822 | Breakdown: co2_emission: 0.368 (40%), cost: 0.177 (20%), material_suitability: 0.075 (25%), recyclability: 0.089 (10%), sustainability_compliance: 0.039 (5%) | Metrics: Suitability: 44.4, Recyclability: 95.0% | ✓ Sustainability bonus applied"
8,44.44444444444444,97,Cardboard Boxes,EMEA,"Rank #8 with score 0.820 | Breakdown: co2_emission: 0.370 (40%), cost: 0.179 (20%), material_suitability: 0.075 (25%), recyclability: 0.093 (10%), sustainability_compliance: 0.028 (5%) | Metrics: Suitability: 44.4, Recyclability: 97.0% | ✓ Sustainability bonus applied"
9,44.44444444444444,99,Cardboard Boxes,EU,"Rank #9 with score 0.820 | Breakdown: co2_emission: 0.369 (40%), cost: 0.172 (20%), material_suitability: 0.075 (25%), recyclability: 0.098 (10%), sustainability_compliance: 0.032 (5%) | Metrics: Suitability: 44.4, Recyclability: 99.0% | ✓ Sustainability bonus applied"
10,40.74074074074074,100,Cardboard Boxes,LATAM,"Rank #10 with score 0.815 | Breakdown: co2_emission: 0.365 (40%), cost: 0.175 (20%), material_suitability: 0.063 (25%), recyclability: 0.100 (10%), sustainability_compliance: 0.039 (5%) | Metrics: Suitability: 40.7, Recyclability: 100.0% | ✓ Sustainability bonus applied"
