product_id,material_id,predicted_cost,predicted_co2,suitability_score,sustainability_score,recyclability
0,MAT_0001,2.24,0.78,5.0,0.88,0.98
1,MAT_0002,1.82,0.52,3.0,0.98,1.0
2,MAT_0003,25.0,3.67,8.666666666666666,0.79,0.87
3,MAT_0004,2.43,0.48,2.0,0.87,1.0
4,MAT_0005,1.69,0.41,2.6666666666666665,0.89,1.0
5,MAT_0006,12.45,1.01,7.333333333333333,0.81,0.85
6,MAT_0007,25.48,3.43,8.666666666666666,0.83,0.91
7,MAT_0008,25.61,3.64,9.0,0.72,0.96
8,MAT_0009,25.17,3.59,8.666666666666666,0.76,0.94
9,MAT_0010,2.29,0.42,1.6666666666666667,0.92,0.94
10,MAT_0011,3.48,0.66,4.666666666666667,0.92,1.0
11,MAT_0012,24.43,3.45,8.333333333333334,0.76,0.87
12,MAT_0013,0.9,2.03,7.333333333333333,0.56,0.76
13,MAT_0014,2.34,0.46,3.3333333333333335,0.93,1.0
14,MAT_0015,12.56,1.03,7.666666666666667,0.81,0.87
15,MAT_0016,3.05,0.77,4.333333333333333,0.9,0.93
16,MAT_0017,1.07,1.98,7.666666666666667,0.58,0.71
17,MAT_0018,1.49,1.91,8.0,0.66,0.62
18,MAT_0019,12.14,0.95,7.666666666666667,0.78,0.86
19,MAT_0020,3.44,0.79,4.666666666666667,0.88,0.92
20,MAT_0021,1.76,0.47,2.6666666666666665,1.0,1.0
21,MAT_0022,14.36,1.15,8.0,0.85,0.94
22,MAT_0023,3.77,0.76,4.0,0.89,0.9
23,MAT_0024,12.18,1.07,7.333333333333333,0.84,0.88
24,MAT_0025,1.07,1.98,8.0,0.59,0.63
25,MAT_0026,2.74,0.57,2.6666666666666665,0.99,1.0
26,MAT_0027,3.14,0.8,4.333333333333333,0.83,1.0
27,MAT_0028,14.94,1.22,7.666666666666667,0.82,0.92
28,MAT_0029,14.4,1.04,7.333333333333333,0.91,0.91
29,MAT_0030,25.65,3.49,9.333333333333334,0.73,1.0
30,MAT_0031,25.95,3.43,8.666666666666666,0.72,0.98
31,MAT_0032,11.82,0.86,7.666666666666667,0.79,0.9
32,MAT_0033,2.66,0.79,4.0,0.95,0.94
33,MAT_0034,2.83,0.77,4.333333333333333,0.87,0.99
